Indicadores municipales de sostenibilidad: Tasa de afil.a la S.S. según Grupo Cotización:Oficiales de Producción (% sobre total personas afiliadas);;;;;;;;;;;;;
"";;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011
01046;Erriberagoitia/Ribera Alta;39,61;39,78;42,63;43,01;46,99;45,20;40,68;39,31;38,10;36,53;39,18;39,76
48079;Errigoiti;24,03;20,87;23,15;24,32;22,94;22,50;22,02;21,88;24,44;24,21;26,80;23,36
20034;Eskoriatza;39,13;39,36;41,27;43,04;42,49;43,55;44,13;44,82;42,56;44,90;45,05;46,85
48029;Etxebarri;28,44;29,39;29,12;28,83;28,73;29,65;30,11;29,60;29,45;31,00;32,22;32,96
48030;Etxebarria;33,94;36,10;36,34;37,53;37,11;33,51;36,46;37,61;37,90;39,88;40,11;42,08
20035;Ezkio-Itsaso;32,61;34,62;33,53;34,25;36,16;34,34;37,28;37,80;40,13;41,83;43,14;42,17
48906;Forua;24,92;24,30;24,47;25,00;23,81;24,91;26,25;28,46;28,90;26,38;28,73;32,28
48035;Fruiz;21,47;22,29;21,21;20,25;22,29;23,94;23,08;20,74;22,46;24,46;26,57;25,71
20038;Gabiria;32,43;30,88;31,85;30,94;34,97;32,85;38,35;34,35;34,09;31,67;33,65;37,86
20037;Gaintza;22,86;27,27;33,33;28,12;41,67;39,39;35,29;48,48;48,39;52,78;50,00;48,57
48036;Galdakao;27,32;27,93;27,80;28,47;28,75;28,61;28,68;28,30;28,29;28,65;29,48;30,73
48037;Galdames;36,13;32,54;34,12;32,38;31,86;35,15;37,70;33,89;34,48;36,72;37,22;37,97
48038;Gamiz-Fika;20,72;20,56;19,52;21,29;20,34;22,94;23,76;24,67;27,07;26,33;25,28;24,93
48039;Garai;29,70;26,97;26,97;28,89;28,41;34,12;30,86;29,11;30,43;26,87;26,87;27,14
48040;Gatika;21,53;22,01;22,52;23,90;23,90;22,30;22,50;23,11;22,77;25,21;25,37;26,10
48041;Gautegiz Arteaga;18,22;18,93;18,07;16,53;18,41;17,60;20,09;19,14;20,10;18,54;18,23;20,30
20907;Gaztelu;34,88;34,15;25,71;34,21;27,78;31,43;22,58;24,14;25,00;25,00;47,73;42,22
48046;Gernika-Lumo;22,86;22,80;22,57;24,35;24,92;25,72;25,68;26,23;25,82;25,46;26,67;26,99
20039;Getaria;37,64;36,25;38,29;39,53;39,56;38,93;38,90;36,83;37,47;37,78;38,97;40,71
48044;Getxo;12,53;13,06;12,85;13,26;13,18;13,10;13,12;12,28;12,05;12,10;12,46;13,07
48047;Gizaburuaga;17,91;15,38;17,46;18,33;20,69;18,52;22,00;22,92;24,44;21,57;19,61;20,00
48042;Gordexola;27,16;26,76;28,31;28,44;29,35;28,98;31,60;29,03;28,09;29,02;30,33;30,77
48043;Gorliz;17,82;19,05;18,40;19,34;18,86;21,02;20,84;18,15;19,38;19,34;19,71;21,61
48045;Güeñes;31,44;31,81;31,48;32,32;33,52;33,74;34,74;32,99;32,07;33,30;33,99;35,43
01056;Harana/Valle de Arana;44,00;45,24;45,00;50,00;47,50;40,43;40,43;40,43;41,67;42,55;43,18;44,00
20040;Hernani;31,78;31,94;32,72;34,00;33,84;33,67;33,66;33,28;33,58;33,17;33,71;34,68
20041;Hernialde;37,27;34,41;32,32;33,00;27,62;33,02;32,69;33,66;25,74;29,20;31,53;30,56
20036;Hondarribia;23,61;23,65;23,62;24,82;24,67;24,89;24,34;23,78;23,40;23,42;23,00;23,55
20042;Ibarra;35,73;35,61;35,60;35,95;37,10;36,93;37,22;38,43;39,38;41,53;41,50;41,96
48048;Ibarrangelu;23,40;20,00;19,58;19,73;22,92;24,66;24,29;24,64;22,31;22,73;23,48;25,98
20043;Idiazabal;33,61;34,32;35,07;36,62;37,56;39,33;39,78;37,98;39,11;39,64;40,03;41,18
