Indicadores municipales de sostenibilidad: Personas extranjeras beneficiarias de Renta de Garantía de Ingresos (% personas extranjeras);;;;;;;;;;;
"";;;;;;;;;;;
Resumen de datos;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014
20023;Berrobi;9,76;7,55;5,66;9,43;8,06;4,44;4,76;4,76;9,09;2,56
20024;Bidania-Goiatz;11,11;10,00;11,11;9,52;6,90;10,00;11,11;8,70;15,00;4,35
48020;Bilbao;10,95;9,78;10,75;10,53;9,68;12,00;14,61;14,74;15,82;16,54
48021;Busturia;7,55;4,26;7,61;8,05;9,33;13,33;10,20;15,09;20,93;15,22
01017;Campezo/Kanpezu;4,82;4,00;4,88;2,27;3,41;2,15;2,74;1,28;4,41;8,20
20029;Deba;6,09;4,95;6,42;6,89;7,50;8,92;8,97;7,57;7,94;8,72
48901;Derio;5,04;3,95;6,83;6,71;4,63;7,88;8,59;7,87;6,19;10,10
48026;Dima;11,76;5,48;1,92;0,00;3,64;5,13;6,06;0,00;0,00;6,67
20069;Donostia / San Sebastián;5,34;4,48;5,03;5,11;4,35;5,18;6,35;6,27;5,74;6,44
48027;Durango;7,16;6,53;7,47;7,38;6,20;7,34;9,25;8,86;10,58;10,21
48028;Ea;3,45;3,85;4,84;3,70;1,67;0,00;2,44;2,38;5,13;7,32
20030;Eibar;13,29;11,56;12,05;13,41;12,03;13,60;16,76;17,44;16,32;14,38
48031;Elantxobe;0,00;0,00;11,11;14,29;20,00;0,00;25,00;50,00;0,00;25,00
01021;Elburgo/Burgelu;0,00;3,85;0,00;0,00;0,00;3,33;4,76;7,41;4,00;7,41
01022;Elciego;4,08;3,33;6,25;5,95;3,16;6,17;4,65;4,49;6,94;7,48
20031;Elduain;0,00;0,00;10,00;28,57;0,00;0,00;0,00;0,00;0,00;0,00
20033;Elgeta;6,35;8,06;6,12;2,00;3,17;1,56;9,80;10,94;11,86;10,45
20032;Elgoibar;8,84;7,76;8,73;8,17;7,56;8,28;10,09;10,78;12,18;11,14
48032;Elorrio;3,79;4,27;3,36;3,54;4,24;5,86;6,88;5,67;7,71;7,90
01023;Elvillar/Bilar;9,38;8,57;5,56;4,26;2,70;8,82;7,14;8,16;0,00;3,23
48902;Erandio;7,90;7,38;8,97;10,73;10,18;11,63;13,91;13,78;18,87;18,38
48033;Ereño;0,00;5,56;5,00;5,26;6,67;0,00;0,00;7,14;0,00;6,67
48034;Ermua;9,12;9,20;9,88;10,92;9,78;10,77;16,07;15,25;16,11;14,70
20067;Errenteria;6,64;6,45;8,70;8,40;7,85;8,58;9,38;9,98;10,60;9,81
20066;Errezil;6,25;6,06;0,00;0,00;0,00;0,00;0,00;4,17;0,00;14,29
01046;Erriberagoitia/Ribera Alta;1,85;4,55;8,33;4,26;0,00;3,03;3,70;6,25;7,14;5,41
48079;Errigoiti;5,56;3,57;4,17;0,00;0,00;7,69;14,29;5,56;11,76;13,33
20034;Eskoriatza;8,45;8,58;8,30;6,03;7,75;8,72;8,96;11,52;6,90;8,72
48029;Etxebarri;7,08;5,69;6,63;7,26;5,71;8,04;11,39;11,01;12,01;12,33
