"Indicadores municipales de sostenibilidad: Tasa de afiliación a la seguridad social por municipio de residencia: población 16-24 años (%habitantes) ";;;;;;;;;;;;;
"";;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011
20049;Lazkao;30,63;31,42;24,20;26,40;27,63;27,61;27,29;25,17;20,32;18,24;19,08;25,66
20050;Leaburu;42,22;43,90;25,71;29,41;46,15;47,37;41,18;28,57;35,29;35,29;31,82;36,36
20051;Legazpi;28,28;26,02;19,76;24,19;21,57;21,52;19,15;15,06;16,69;12,38;12,97;16,75
20052;Legorreta;29,29;29,32;20,31;26,15;30,40;22,40;14,40;16,81;23,28;17,09;19,82;24,37
01058;Legutio;29,01;33,33;15,56;27,78;32,29;40,23;26,67;21,28;21,65;23,96;26,09;25,45
20068;Leintz-Gatzaga;41,18;56,25;41,18;50,00;26,32;28,57;21,05;23,81;14,29;9,52;14,29;21,05
48054;Leioa;25,49;20,43;18,57;20,68;19,07;17,51;15,51;14,96;14,30;13,05;14,58;18,38
48057;Lekeitio;18,14;16,08;13,61;13,44;15,03;14,43;11,36;13,57;13,09;10,20;10,94;12,08
48055;Lemoa;23,79;20,21;20,95;22,13;24,89;23,50;17,73;20,19;16,83;11,01;14,35;20,09
48056;Lemoiz;18,35;14,68;11,00;15,79;11,76;14,86;11,84;19,05;13,43;9,59;16,90;21,54
01034;Leza;15,79;13,33;13,33;21,43;16,67;22,22;16,67;7,14;15,38;33,33;18,18;23,08
48081;Lezama;29,39;28,63;23,08;25,47;25,62;21,89;17,10;19,02;20,11;15,14;17,13;20,21
20053;Lezo;37,23;33,93;27,27;34,20;31,95;29,62;24,35;25,15;19,46;18,27;18,31;23,75
20054;Lizartza;34,43;19,30;16,98;22,03;18,87;22,22;31,25;33,33;17,78;17,78;22,73;30,23
48903;Loiu;41,18;33,06;17,25;18,90;13,92;14,23;14,34;13,39;11,21;8,64;11,06;17,02
