Indicadores municipales de sostenibilidad: Tasa de afiliación a la Seguridad Social por municipio de residencia: Mujeres (% mujeres de 16 y más años);;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009
48090;Balmaseda;43,33;40,56;39,31;39,89;39,68;38,49;37,62;36,34;35,09;33,42;33,51;34,48;33,62;32,83
48013;Barakaldo;47,65;45,39;43,84;43,71;42,49;41,91;41,38;40,62;39,80;38,98;38,85;38,54;37,28;36,85
48014;Barrika;45,80;40,21;40,84;40,36;39,40;37,13;37,91;39,36;38,15;36,97;37,81;38,45;36,73;34,34
01013;Barrundia;50,43;46,98;47,13;46,78;48,65;48,33;46,83;46,22;47,13;42,30;42,64;47,40;46,63;43,56
48015;Basauri;43,66;41,73;40,89;42,00;41,37;40,57;39,93;39,23;38,69;38,45;38,68;38,96;38,40;38,14
01011;Baños de Ebro/Mañueta;42,15;25,40;24,41;26,72;29,82;29,82;30,08;25,00;26,61;22,05;28,00;65,00;57,60;59,23
20019;Beasain;49,97;49,42;48,19;48,62;47,05;46,33;44,86;43,36;42,16;41,56;41,24;41,47;40,60;39,31
48092;Bedia;49,40;44,11;43,28;43,47;44,47;40,31;39,52;38,90;37,58;36,82;35,68;39,36;34,27;33,73
20020;Beizama;103,85;93,10;75,00;56,25;45,83;47,06;39,22;33,33;46,30;40,00;34,43;33,90;30,36;28,07
20021;Belauntza;54,95;53,98;50,88;69,15;60,42;61,05;60,40;54,46;51,49;55,77;51,43;58,72;57,94;52,17
48016;Berango;50,59;48,61;47,54;50,05;48,32;47,02;46,40;46,24;45,34;44,27;43,14;42,57;41,53;40,64
01014;Berantevilla;48,76;35,50;32,52;34,57;34,25;37,99;32,42;28,87;29,90;31,47;33,85;35,18;37,13;36,54
20022;Berastegi;57,94;52,06;50,81;50,24;50,24;44,52;43,53;44,88;43,41;43,10;42,36;42,00;40,55;39,30
20074;Bergara;49,66;48,58;47,55;48,16;47,19;45,94;44,80;44,35;43,68;42,94;43,58;44,67;44,39;44,23
48017;Bermeo;44,90;43,02;42,85;42,69;42,60;42,92;41,33;40,48;40,06;39,10;39,32;40,87;38,92;38,10
01016;Bernedo;39,00;35,98;36,68;34,57;35,75;36,96;36,31;36,98;35,94;36,68;40,49;36,79;35,89;35,32
48018;Berriatua;47,25;47,64;46,19;46,87;44,57;44,14;43,07;43,76;42,92;43,79;44,00;44,93;42,53;41,77
48019;Berriz;47,64;48,43;49,44;50,24;49,71;47,26;46,75;45,76;44,59;43,90;43,36;42,62;43,01;40,88
20023;Berrobi;57,81;47,58;47,95;51,07;49,15;47,81;47,75;45,05;45,50;39,64;39,09;41,36;40,36;43,89
