Indicadores municipales de sostenibilidad: Hombres parados de larga duración registrados en LANBIDE (% Hombres de 16 a 64 años);;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;
48006;Arantzazu;0,70;0,71;2,80;1,40;0,76;0,00;0,00;1,57;0,85;1,68;0,79;1,61;1,64;0,00;0,00;0,00;0,98
48093;Areatza;1,69;1,28;1,80;1,75;1,22;1,94;1,68;4,98;4,87;5,08;4,96;4,90;3,83;3,16;1,39;0,81;1,17
20013;Aretxabaleta;1,29;1,22;1,36;1,61;1,56;1,93;1,88;2,00;2,65;2,99;2,35;2,27;2,05;2,78;2,08;0,83;0,22
01006;Armiñón;3,23;2,25;3,53;4,94;3,90;2,56;1,41;6,33;3,70;2,44;1,23;2,47;2,78;0,00;0,00;0,00;0,00
01037;Arraia-Maeztu;3,38;1,52;1,11;0,38;0,80;1,63;2,07;2,46;0,81;2,50;4,84;3,45;2,26;2,97;1,46;1,48;1,88
48009;Arrankudiaga;1,45;2,11;2,11;2,45;1,80;2,02;1,17;2,37;1,53;1,53;2,73;3,17;2,90;4,05;1,71;0,70;1,52
20055;Arrasate/Mondragón;2,76;2,68;3,10;3,58;2,34;3,19;3,59;4,17;4,59;4,42;3,65;3,32;2,72;2,90;2,51;0,77;0,77
48914;Arratzu;1,77;0,88;1,77;2,70;2,59;0,81;1,60;0,79;0,00;0,76;1,49;0,72;0,00;1,46;0,71;0,00;0,74
01008;Arratzua-Ubarrundia;1,84;2,17;1,60;1,07;1,32;1,55;1,31;1,05;1,31;1,75;2,53;3,81;2,32;1,92;1,39;0,87;0,58
48010;Arrieta;3,30;2,91;2,79;2,44;2,96;1,46;1,51;1,51;1,94;1,95;1,47;1,56;1,55;1,59;1,10;0,00;0,58
48011;Arrigorriaga;3,14;3,06;3,19;4,45;2,87;2,94;3,59;4,30;5,46;5,71;6,41;5,68;4,13;3,19;1,88;0,91;1,08
48023;Artea;2,88;2,86;2,99;3,88;4,44;3,11;2,64;4,70;4,27;3,15;4,63;3,07;2,18;1,11;1,15;1,15;0,85
48008;Artzentales;4,29;4,22;3,42;6,97;4,82;5,76;5,22;5,41;5,30;5,14;6,75;4,94;2,07;1,74;1,79;1,13;1,23
01004;Artziniega;3,09;1,50;2,15;3,23;2,65;3,23;2,42;3,30;3,27;2,59;2,73;3,73;3,21;2,04;1,87;1,14;0,87
01009;Asparrena;1,86;2,55;3,11;3,29;2,14;1,96;2,86;3,18;3,88;4,69;3,98;4,10;3,04;1,50;0,50;0,18;1,10
20014;Asteasu;1,42;1,49;1,11;1,94;1,76;2,13;2,14;1,59;2,22;3,14;3,45;3,26;1,90;1,54;1,58;0,38;0,37
20903;Astigarraga;1,23;1,38;1,45;1,86;1,48;1,82;2,40;2,95;3,52;3,83;2,78;3,13;1,92;1,88;1,31;0,78;0,83
20015;Ataun;1,22;1,65;1,54;2,16;0,96;1,54;1,77;2,32;1,94;2,17;2,67;2,44;2,06;1,64;1,08;0,18;0,19
48091;Atxondo;1,62;1,16;1,14;1,62;0,69;1,13;1,08;1,26;1,31;2,84;3,55;4,07;2,15;2,53;1,54;0,55;0,93
48070;Aulesti;1,06;0,53;2,15;1,13;0,53;1,04;1,05;0,00;2,56;1,52;5,76;2,02;0,49;1,47;0,49;0,00;0,47
01010;Ayala/Aiara;1,44;1,76;1,89;1,91;1,07;1,28;1,83;1,41;2,05;3,26;3,16;2,69;1,62;1,04;0,42;0,53;1,15
20017;Azkoitia;1,64;1,91;2,10;2,60;1,73;2,38;2,83;3,38;4,27;4,90;4,56;3,34;2,89;3,05;1,49;0,70;0,82
20018;Azpeitia;1,67;1,70;1,90;2,15;1,62;1,90;2,44;2,89;3,60;4,98;4,56;3,66;3,02;2,40;1,82;0,71;0,65
01049;Añana;1,54;1,41;1,28;2,67;4,17;1,32;1,33;0,00;0,00;2,82;0,00;0,00;3,03;0,00;0,00;0,00;0,00
48012;Bakio;2,28;2,03;2,13;3,25;2,39;2,85;2,80;3,63;3,31;3,53;2,52;1,93;2,79;1,44;0,90;0,85;1,03
20904;Baliarrain;0,00;0,00;0,00;2,00;1,96;0,00;0,00;2,13;0,00;0,00;4,65;4,44;2,27;2,27;2,27;0,00;2,78
