Indicadores municipales de sostenibilidad: Tasa de afiliación a la S.S. Sector Servicios (% sobre total personas afiliadas);;;;;;;;;;;;
"";;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
20024;Bidania-Goiatz;54,17;56,43;55,74;55,79;58,65;59,24;59,17;55,31;53,33;54,03;48,37
48020;Bilbao;83,56;83,79;83,55;83,56;83,43;83,47;83,53;83,54;83,34;82,87;82,25
48021;Busturia;74,49;74,10;73,03;73,25;71,94;70,57;69,78;69,14;67,94;66,84;66,29
01017;Campezo/Kanpezu;62,86;62,50;63,13;62,53;62,16;60,50;58,96;57,18;58,17;55,40;52,42
20029;Deba;66,65;66,91;65,39;65,03;65,00;63,91;63,16;62,90;62,73;61,07;60,40
48901;Derio;75,32;74,92;74,33;74,09;74,62;73,62;73,89;72,72;72,88;72,26;70,16
48026;Dima;73,40;75,39;75,35;72,33;70,28;69,18;70,30;70,71;71,06;70,16;69,49
20069;Donostia / San Sebastián;84,60;84,63;84,56;84,70;84,70;84,73;84,73;84,81;84,61;84,29;83,83
48027;Durango;68,29;67,79;67,38;66,70;66,21;66,24;65,99;65,75;65,47;65,02;64,30
48028;Ea;73,50;70,28;70,76;70,40;71,43;69,00;68,52;67,42;67,15;68,82;67,27
20030;Eibar;66,97;66,60;66,32;65,81;65,59;65,44;65,08;64,66;64,11;62,61;61,47
48031;Elantxobe;76,32;79,38;71,43;72,22;74,77;73,79;74,29;75,25;77,00;75,79;75,26
01021;Elburgo/Burgelu;69,97;68,25;70,07;67,62;66,90;67,80;65,85;65,26;64,89;64,71;64,03
01022;Elciego;52,39;49,52;46,65;46,39;44,69;44,41;44,59;46,69;46,03;46,10;44,19
20031;Elduain;61,11;59,66;58,93;60,17;60,00;60,38;55,77;54,21;54,00;54,64;55,00
20033;Elgeta;65,08;63,16;62,48;62,01;60,24;60,92;62,60;62,35;61,78;58,94;57,05
20032;Elgoibar;61,28;60,57;59,82;58,69;58,12;58,08;57,90;57,19;56,55;56,35;54,67
48032;Elorrio;65,54;65,13;65,01;64,49;64,48;64,51;64,00;64,88;64,65;64,51;64,44
01023;Elvillar/Bilar;39,13;29,93;29,71;26,47;26,67;27,41;27,07;25,60;26,87;28,24;29,71
48902;Erandio;79,90;80,20;79,79;79,83;79,23;79,41;79,14;79,32;79,04;78,06;76,90
48033;Ereño;67,78;66,67;69,41;68,60;69,23;68,54;71,26;66,28;64,94;62,65;62,22
48034;Ermua;56,60;56,24;56,55;55,85;55,39;54,59;54,49;53,70;53,22;51,81;51,04
20067;Errenteria;77,74;77,54;76,99;76,90;76,87;76,93;76,96;77,17;76,70;76,27;75,54
20066;Errezil;50,52;52,25;50,54;50,36;48,52;46,15;46,36;48,84;45,97;44,53;39,92
01046;Erriberagoitia/Ribera Alta;65,65;63,96;61,51;60,99;58,97;57,04;57,78;58,91;59,68;57,37;58,96
48079;Errigoiti;74,47;73,89;70,93;70,45;69,59;70,17;68,24;67,97;67,12;66,00;63,64
20034;Eskoriatza;53,69;52,61;52,68;51,49;52,73;51,63;52,28;51,68;46,34;44,34;43,01
48029;Etxebarri;77,21;77,03;76,96;76,92;76,72;76,47;77,52;77,92;77,50;76,59;75,82
48030;Etxebarria;57,38;54,88;53,23;50,37;50,53;52,03;50,45;49,36;49,36;48,80;47,40
20035;Ezkio-Itsaso;60,07;60,39;60,32;62,89;60,47;61,41;61,29;61,41;58,52;57,85;57,92
48906;Forua;69,77;70,33;69,97;69,59;68,99;68,68;70,25;67,44;65,56;69,10;66,12
48035;Fruiz;78,37;76,62;76,00;76,04;77,42;76,33;75,85;76,50;75,25;75,62;74,63
20038;Gabiria;59,24;57,60;55,30;58,18;55,86;56,16;54,38;57,21;58,45;56,25;52,91
20037;Gaintza;70,00;69,39;66,67;68,09;64,00;60,87;63,27;58,33;56,25;56,60;53,06
48036;Galdakao;75,44;75,07;75,04;74,61;74,26;74,24;74,32;74,10;73,63;72,57;71,46
48037;Galdames;66,67;68,66;67,97;68,23;69,14;66,06;67,31;68,90;66,40;65,76;65,88
48038;Gamiz-Fika;74,64;74,96;74,49;73,84;74,23;73,66;72,68;70,70;69,96;69,90;68,20
48039;Garai;67,32;66,43;66,67;64,75;67,67;63,78;66,94;67,52;67,59;65,71;60,82
48040;Gatika;75,63;75,22;74,82;74,75;73,84;73,25;74,27;73,52;72,42;71,04;69,77
48041;Gautegiz Arteaga;81,82;82,22;80,36;78,81;78,70;79,24;77,92;80,66;79,80;76,66;74,20
20907;Gaztelu;70,00;70,91;64,44;66,67;67,35;70,00;75,00;71,74;69,39;68,09;53,73
48046;Gernika-Lumo;73,95;73,54;72,26;72,02;71,36;70,26;70,73;70,66;70,55;70,26;68,91
20039;Getaria;61,73;60,89;59,87;59,13;59,26;58,98;58,25;57,12;55,77;54,99;53,00
48044;Getxo;85,92;85,93;85,50;85,54;85,41;85,60;85,54;85,56;85,00;84,59;84,17
48047;Gizaburuaga;61,45;62,96;60,00;58,67;57,53;59,46;53,42;55,84;54,05;54,55;56,96
48042;Gordexola;75,75;75,18;74,50;72,79;73,25;73,26;73,12;73,58;73,74;73,27;72,31
48043;Gorliz;85,08;85,44;85,13;84,43;83,83;83,10;82,63;82,58;81,46;80,84;79,84
48045;Güeñes;76,66;76,23;76,05;76,08;75,78;75,33;74,77;74,90;75,53;74,13;72,22
01056;Harana/Valle de Arana;52,44;53,42;53,52;47,95;46,67;45,78;47,62;45,24;44,32;42,53;36,90
20040;Hernani;76,03;76,07;75,24;74,93;74,45;74,40;74,20;73,83;73,70;73,28;72,42
20041;Hernialde;62,16;57,78;57,45;56,85;59,87;59,35;57,52;56,21;58,06;55,83;54,32
20036;Hondarribia;81,13;81,23;80,73;80,58;80,57;80,53;80,44;80,14;80,07;79,58;78,67
20042;Ibarra;65,06;65,06;65,49;64,85;64,92;64,73;64,54;63,41;62,04;60,17;59,85
48048;Ibarrangelu;77,39;79,80;80,30;80,57;77,25;74,76;73,85;75,52;75,53;75,66;73,37
20043;Idiazabal;54,10;53,43;52,85;52,85;52,65;50,92;50,11;49,95;49,35;47,62;47,87
48094;Igorre;65,98;65,68;66,25;63,98;63,39;62,91;63,25;63,56;63,81;62,92;61,43
20044;Ikaztegieta;60,91;60,56;57,30;57,95;58,03;56,28;55,15;53,40;54,26;55,79;56,04
20045;Irun;79,03;79,20;78,78;79,22;79,22;79,29;79,24;79,26;78,94;78,30;77,42
20046;Irura;65,36;65,37;65,43;63,92;63,78;63,22;63,52;64,48;64,06;62,90;61,22
01027;Iruraiz-Gauna;67,84;68,40;64,20;65,59;65,15;61,60;62,01;60,26;57,89;56,83;55,45
01901;Iruña Oka/Iruña de Oca;68,46;66,96;66,01;66,46;66,00;66,89;66,96;65,57;65,38;63,47;61,69
48049;Ispaster;70,63;68,01;67,29;64,75;65,34;61,48;64,37;63,67;62,92;62,55;58,19
20047;Itsasondo;58,62;57,14;56,88;59,26;57,97;62,08;59,53;58,37;58,58;58,37;58,22
48910;Iurreta;62,95;61,99;61,08;61,03;61,29;60,53;59,89;59,96;59,23;59,22;57,94
48050;Izurtza;66,67;65,38;65,74;62,39;60,53;65,18;61,61;59,82;59,82;60,18;57,41
48022;Karrantza Harana/Valle de Carranza;58,91;59,26;57,68;57,11;55,89;56,74;57,09;56,58;56,52;57,89;56,08
48907;Kortezubi;67,93;67,43;65,34;63,69;63,79;61,45;61,02;62,15;57,65;59,39;60,51
01019;Kripan;43,37;36,07;38,18;40,98;37,29;38,33;34,43;37,29;33,33;32,08;29,63
01020;Kuartango;57,55;58,52;55,73;58,16;57,97;55,73;56,72;58,21;50,42;50,42;50,79
01028;Labastida/Bastida;61,77;61,34;60,96;59,37;57,69;58,64;55,78;54,57;53,83;52,56;51,40
01030;Lagrán;60,53;58,06;54,84;50,00;50,00;42,31;45,16;43,75;44,44;37,84;44,19
01031;Laguardia;62,15;60,13;58,46;58,44;57,69;57,91;59,17;56,36;57,69;57,40;58,53
01032;Lanciego/Lantziego;47,18;39,09;35,23;34,85;37,80;36,79;35,26;33,87;31,49;31,28;32,18
48051;Lanestosa;69,44;73,77;68,66;67,19;66,13;67,24;69,81;63,93;68,85;67,80;63,64
01902;Lantarón;56,55;54,71;54,46;50,00;50,22;49,55;46,36;43,72;44,04;47,09;47,91
01033;Lapuebla de Labarca;45,88;39,86;39,78;40,64;39,45;39,58;38,98;38,97;36,75;34,88;35,87
48052;Larrabetzu;79,08;78,69;77,94;77,85;76,13;75,28;75,40;76,31;74,73;73,67;73,31
20048;Larraul;69,57;67,46;67,52;67,24;64,22;65,79;63,39;60,40;59,18;60,40;57,43
20902;Lasarte-Oria;75,39;75,18;74,77;74,66;74,64;74,66;74,20;74,42;74,01;73,59;72,64
01036;Laudio/Llodio;67,79;67,16;66,27;66,05;65,86;65,15;64,97;64,91;63,52;61,48;60,22
48053;Laukiz;78,61;78,40;77,62;77,10;77,85;77,45;77,83;77,75;77,67;78,39;76,96
20049;Lazkao;55,90;55,46;55,49;55,15;54,85;55,10;54,79;54,82;54,00;53,15;52,91
20050;Leaburu;59,26;61,54;57,56;57,89;60,11;59,01;60,67;54,61;53,02;52,94;54,07
20051;Legazpi;59,80;58,74;58,11;57,77;57,26;56,94;57,26;56,62;56,37;55,25;54,05
20052;Legorreta;63,04;62,22;62,17;62,20;62,70;61,94;63,28;61,80;60,75;59,03;59,42
01058;Legutio;66,79;66,63;63,68;64,29;64,53;65,19;65,16;65,13;63,68;62,50;61,35
20068;Leintz-Gatzaga;61,29;60,20;63,00;63,37;62,00;58,82;59,79;61,76;56,00;53,54;55,00
48054;Leioa;81,71;82,27;81,98;81,83;81,88;81,71;81,35;81,51;81,32;80,65;79,98
48057;Lekeitio;72,91;72,29;71,19;71,34;69,78;69,56;70,05;70,04;70,14;69,82;67,89
48055;Lemoa;69,42;69,57;69,08;68,37;68,02;68,15;68,08;68,36;67,90;66,85;65,70
48056;Lemoiz;82,95;82,44;81,94;81,51;81,46;79,87;80,00;79,86;80,26;78,38;79,10
01034;Leza;50,00;47,37;50,00;48,75;53,16;48,78;50,63;52,50;57,14;54,67;55,41
48081;Lezama;77,68;77,14;75,79;75,09;75,78;75,05;74,58;73,89;73,71;72,74;71,39
20053;Lezo;76,42;77,18;76,93;77,60;77,04;77,63;76,95;76,20;75,81;75,18;73,83
20054;Lizartza;58,97;55,19;55,13;53,46;52,92;52,33;52,94;51,49;52,04;50,19;47,74
48903;Loiu;79,08;79,03;79,46;79,94;79,19;78,35;79,21;79,25;79,10;78,92;78,60
48058;Mallabia;59,25;59,81;56,97;57,17;57,95;58,22;57,77;58,10;56,65;57,09;53,30
48060;Markina-Xemein;56,86;56,67;54,71;54,72;54,42;52,89;53,01;53,10;53,62;52,37;50,26
48061;Maruri-Jatabe;80,73;81,84;81,33;80,59;80,98;80,05;80,37;78,36;78,55;78,30;75,58
48059;Mañaria;58,22;56,59;57,56;60,19;59,26;56,81;56,54;56,56;55,34;55,61;54,59
20901;Mendaro;60,40;59,86;60,64;60,02;59,51;58,64;59,83;58,44;57,33;55,89;55,12
48062;Mendata;70,75;70,20;69,48;70,13;70,55;67,16;67,67;70,15;67,97;61,90;60,94
48063;Mendexa;68,75;68,36;64,37;63,47;63,37;63,64;65,27;62,82;64,74;63,89;64,96
48064;Meñaka;76,00;76,19;73,61;73,13;69,42;71,48;71,88;70,68;72,20;70,34;70,89
01039;Moreda de Álava / Moreda Araba;53,77;42,65;39,06;40,00;42,65;39,68;42,42;40,00;30,19;33,93;30,36
48066;Morga;74,71;71,52;69,48;68,79;65,38;66,88;68,03;67,11;65,10;65,03;64,29
48068;Mundaka;77,49;75,88;76,34;77,97;76,86;76,86;76,46;77,37;75,80;75,49;75,08
48069;Mungia;77,33;77,21;76,48;75,95;75,27;75,13;75,04;74,56;74,13;72,86;71,87
48007;Munitibar-Arbatzegi Gerrikaitz-;68,18;64,33;64,24;59,63;60,62;60,90;62,35;60,37;57,42;62,07;61,81
48908;Murueta;66,67;66,67;70,21;68,18;70,45;65,85;69,05;66,67;69,23;65,79;66,67
48071;Muskiz;71,53;71,69;71,67;71,91;71,79;71,46;71,05;71,88;71,51;70,14;69,87
20057;Mutiloa;60,87;51,46;52,00;54,00;53,61;55,10;59,55;58,02;64,86;63,29;58,97
20056;Mutriku;60,49;61,33;60,21;59,10;59,48;58,56;58,05;57,51;57,64;56,52;54,66
48067;Muxika;70,58;69,77;70,45;70,20;68,45;68,40;67,41;66,19;65,67;64,58;63,09
48909;Nabarniz;71,28;70,65;70,11;70,65;72,04;69,66;67,44;67,06;66,22;67,57;60,00
01041;Navaridas;33,33;27,50;19,74;20,25;17,72;19,74;20,55;25,64;22,06;20,55;20,51
20063;Oiartzun;75,81;75,33;75,72;74,91;74,97;74,91;75,01;74,69;74,27;73,71;73,34
01042;Okondo;66,98;66,14;64,92;65,19;66,19;64,32;64,86;65,60;64,87;62,74;61,44
20058;Olaberria;58,65;54,23;52,69;53,56;54,93;54,08;54,86;55,21;52,99;52,16;53,39
48073;Ondarroa;62,05;61,37;60,44;59,42;59,48;57,99;57,96;58,52;58,08;57,54;55,98
20076;Ordizia;61,11;59,95;59,51;59,95;59,67;59,33;58,79;57,77;58,65;57,11;55,92
20905;Orendain;68,32;65,56;63,86;62,34;61,54;62,50;64,94;72,15;63,89;64,71;64,00
20060;Orexa;57,14;60,42;55,32;58,33;60,78;59,62;53,85;52,94;53,06;56,00;55,10
20061;Orio;69,89;69,53;70,23;69,43;69,77;69,43;68,93;67,84;67,84;66,11;65,33
20062;Ormaiztegi;55,56;58,20;55,94;56,06;56,12;56,73;54,42;53,41;52,60;50,36;50,09
48075;Orozko;67,53;65,81;63,90;63,67;64,01;63,02;63,47;63,04;62,20;60,96;61,20
48083;Ortuella;74,62;74,60;74,52;74,56;74,44;74,52;74,20;74,54;74,63;75,15;73,95
48072;Otxandio;62,84;61,44;61,66;59,09;60,00;60,00;60,00;58,84;57,03;54,11;53,62
