Indicadores municipales de sostenibilidad: Mujeres paradas de larga duración registradas en Lanbide (% mujeres de 16 a 64 años);;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;
48023;Artea;2,16;1,74;1,74;2,58;1,86;2,27;3,26;1,81;3,95;4,20;2,99;3,48;2,02;3,20;2,90;1,31;2,36
48008;Artzentales;4,52;5,50;4,59;7,01;4,43;7,18;5,77;7,21;7,28;6,57;7,98;4,27;0,94;1,99;2,60;2,05;2,67
01004;Artziniega;4,08;3,81;3,64;5,38;4,98;6,67;6,54;5,92;5,84;5,99;6,16;6,98;5,33;4,25;3,96;1,58;2,50
01009;Asparrena;3,52;3,95;4,33;5,19;3,38;4,28;5,38;5,81;5,31;4,82;4,93;4,03;2,10;1,71;1,35;1,23;1,25
20014;Asteasu;2,45;2,07;3,11;3,62;2,63;3,14;3,62;3,78;5,72;3,70;5,02;4,29;3,56;3,79;2,79;2,02;2,30
20903;Astigarraga;2,95;3,09;3,05;3,10;2,75;3,64;3,85;3,94;4,18;4,18;5,25;3,92;3,59;2,91;2,26;2,04;1,84
20015;Ataun;1,03;1,69;1,48;1,94;1,97;2,58;1,96;3,49;3,43;3,69;2,76;3,00;2,52;1,69;1,68;0,84;0,86
48091;Atxondo;3,16;2,35;2,58;3,31;3,21;3,10;4,12;4,17;5,30;4,36;3,81;2,93;3,09;3,39;2,58;0,97;0,99
48070;Aulesti;3,14;2,96;1,97;1,06;1,55;2,08;2,03;1,57;2,17;3,35;3,78;2,26;3,31;1,61;1,63;1,61;0,53
01010;Ayala/Aiara;2,54;2,65;3,92;4,00;3,68;4,50;4,46;4,02;4,38;4,92;4,72;4,17;3,34;2,77;2,76;1,50;1,41
20017;Azkoitia;3,47;3,33;3,39;4,31;3,79;4,89;5,21;5,32;6,15;6,25;6,17;5,10;3,46;2,96;2,68;1,57;1,85
20018;Azpeitia;3,44;3,50;3,63;4,09;3,51;3,71;4,20;4,82;5,69;6,15;5,33;4,62;3,68;3,12;2,52;1,70;1,63
01049;Añana;0,00;2,56;0,00;0,00;0,00;2,70;4,76;4,65;5,56;2,86;5,13;2,70;2,63;5,00;5,13;0,00;0,00
48012;Bakio;2,01;2,80;2,48;3,48;3,12;3,37;4,61;4,61;3,96;5,18;4,00;2,91;3,47;3,49;2,16;1,30;2,52
20904;Baliarrain;4,17;4,44;4,44;4,44;2,17;4,65;2,33;2,22;6,67;4,26;2,44;0,00;5,00;0,00;0,00;0,00;0,00
48090;Balmaseda;7,08;7,53;8,73;9,76;9,56;9,91;9,51;10,22;10,70;10,33;9,35;7,39;5,67;3,61;3,02;1,61;2,50
48013;Barakaldo;5,46;5,79;6,31;7,17;5,97;6,90;7,44;7,67;8,51;8,53;7,95;6,89;5,31;3,78;2,86;2,26;2,63
48014;Barrika;2,81;2,91;3,53;4,56;4,65;4,97;4,77;4,46;4,55;4,51;3,65;3,11;3,23;1,79;1,24;1,33;0,45
