Indicadores municipales de sostenibilidad: Hombres ocupados en el sector servicios (% sobre total hombres ocupados);;;;;
"";;;;;
Resumen de datos;;;;;
48055;Lemoa;52,41;50,61;51,02;50,44
48056;Lemoiz;70,90;70,06;70,96;71,15
01034;Leza;30,65;29,82;31,37;25,49
48081;Lezama;67,01;68,11;65,92;66,55
20053;Lezo;60,56;60,55;59,96;59,92
20054;Lizartza;34,76;33,54;33,54;30,67
48903;Loiu;72,76;71,69;70,64;71,86
48058;Mallabia;40,41;38,33;38,43;40,40
48060;Markina-Xemein;37,92;38,26;37,75;36,51
48061;Maruri-Jatabe;71,86;71,43;71,88;66,37
48059;Mañaria;39,16;41,30;40,00;47,06
20901;Mendaro;38,98;39,44;39,59;38,10
48062;Mendata;55,88;57,00;48,48;47,27
48063;Mendexa;54,39;52,89;49,09;50,46
48064;Meñaka;57,69;60,12;59,66;60,47
01039;Moreda de Álava / Moreda Araba;27,78;31,25;35,06;41,56
48066;Morga;64,55;63,30;57,00;56,12
48068;Mundaka;65,57;63,08;62,78;62,69
48069;Mungia;61,76;62,68;61,50;60,88
48007;Munitibar-Arbatzegi Gerrikaitz-;44,95;40,74;45,87;43,36
48908;Murueta;54,76;54,55;56,58;55,41
48071;Muskiz;53,04;54,29;53,27;53,57
20057;Mutiloa;38,57;38,89;38,24;36,23
20056;Mutriku;42,31;42,90;43,73;43,12
48067;Muxika;52,87;55,10;52,07;52,92
48909;Nabarniz;50,00;54,84;53,45;56,90
01041;Navaridas;13,43;17,81;14,75;19,05
20063;Oiartzun;61,77;61,54;60,63;60,90
01042;Okondo;52,66;48,05;45,15;45,82
20058;Olaberria;32,10;31,51;28,87;31,25
48073;Ondarroa;44,89;44,57;44,25;44,34
20076;Ordizia;39,06;38,49;38,49;38,89
20905;Orendain;46,97;50,75;50,00;51,85
20060;Orexa;48,28;46,43;50,00;55,17
20061;Orio;51,09;51,00;53,04;51,78
20062;Ormaiztegi;29,68;34,40;32,14;33,33
48075;Orozko;51,86;51,15;50,16;49,35
48083;Ortuella;57,03;57,47;57,54;57,64
48072;Otxandio;44,51;44,00;45,25;43,12
01043;Oyón-Oion;40,77;39,98;40,79;45,52
20059;Oñati;33,38;33,35;32,96;31,44
20064;Pasaia;66,52;67,16;66,28;67,04
01044;Peñacerrada-Urizaharra;45,37;43,69;40,95;41,05
48077;Plentzia;74,36;75,00;75,46;75,74
48078;Portugalete;65,52;65,66;64,80;64,83
01047;Ribera Baja/Erribera Beitia;47,95;47,71;45,01;50,00
01051;Salvatierra/Agurain;50,54;50,27;48,58;47,66
01052;Samaniego;20,99;21,33;14,49;24,14
01053;San Millán/Donemiliaga;37,44;35,58;35,24;35,10
48082;Santurtzi;63,27;63,90;62,92;62,77
20070;Segura;32,85;35,53;34,69;34,67
48084;Sestao;61,06;61,44;61,30;61,31
48904;Sondika;65,96;67,58;66,86;64,87
48085;Sopela;74,48;74,73;73,96;73,63
48086;Sopuerta;58,59;57,60;56,69;55,20
20065;Soraluze-Placencia de las Armas;46,06;36,84;36,74;38,94
