Indicadores municipales de sostenibilidad: Mujeres ocupadas en el sector agropesquero (% sobre total mujeres ocupadas);;;;;
"";;;;;
Resumen de datos;;;;;
20905;Orendain;8,33;10,34;7,69;8,00
20060;Orexa;9,52;10,00;5,00;13,64
20061;Orio;0,34;0,35;0,37;0,52
20062;Ormaiztegi;0,00;0,00;0,00;0,00
48075;Orozko;1,85;1,71;1,94;2,19
48083;Ortuella;0,00;0,06;0,00;0,06
48072;Otxandio;1,50;1,55;1,17;1,16
01043;Oyón-Oion;3,91;2,48;4,05;5,05
20059;Oñati;0,31;0,36;0,45;0,48
20064;Pasaia;0,08;0,03;0,11;0,03
01044;Peñacerrada-Urizaharra;6,35;7,14;7,25;9,84
48077;Plentzia;0,39;0,10;0,00;0,00
48078;Portugalete;0,07;0,10;0,05;0,06
01047;Ribera Baja/Erribera Beitia;0,93;1,22;1,28;1,58
01051;Salvatierra/Agurain;0,76;0,77;0,81;0,78
01052;Samaniego;7,41;12,00;9,62;4,88
01053;San Millán/Donemiliaga;8,81;8,61;8,50;9,86
48082;Santurtzi;0,08;0,13;0,07;0,08
20070;Segura;1,47;1,79;1,84;1,85
48084;Sestao;0,27;0,23;0,22;0,17
48904;Sondika;0,00;0,10;0,10;0,10
48085;Sopela;0,18;0,16;0,24;0,23
48086;Sopuerta;0,52;0,71;1,12;1,37
20065;Soraluze-Placencia de las Armas;0,15;0,00;0,00;0,14
48076;Sukarrieta;1,35;1,56;1,64;1,67
20071;Tolosa;0,34;0,37;0,40;0,48
48087;Trucios-Turtzioz;8,51;7,37;8,54;7,23
48088;Ubide;0,00;0,00;0,00;3,03
48065;Ugao-Miraballes;0,12;0,24;0,12;0,35
48089;Urduliz;0,30;0,32;0,35;0,60
48074;Urduña/Orduña;1,31;1,85;2,29;2,49
01054;Urkabustaiz;4,37;3,89;4,11;4,98
20072;Urnieta;1,38;1,19;1,45;1,43
20077;Urretxu;0,28;0,28;0,44;0,36
20073;Usurbil;1,21;1,39;1,36;1,40
01055;Valdegovía/Gaubea;6,13;6,51;9,04;8,60
48080;Valle de Trápaga-Trapagaran;0,08;0,08;0,13;0,13
20075;Villabona;0,64;0,66;0,43;0,72
01057;Villabuena de Álava/Eskuernaga;11,86;20,69;20,75;24,49
01059;Vitoria-Gasteiz;0,24;0,26;0,27;0,25
01060;Yécora/Iekora;22,50;32,26;47,22;43,33
48095;Zaldibar;0,32;0,32;0,17;0,17
20078;Zaldibia;1,77;1,58;2,30;2,70
01061;Zalduondo;0,00;0,00;0,00;0,00
48096;Zalla;0,58;0,84;0,86;1,04
01062;Zambrana;1,47;1,27;4,00;5,00
48905;Zamudio;1,03;1,23;1,25;1,33
48097;Zaratamo;0,28;0,28;0,28;0,58
20079;Zarautz;0,42;0,45;0,46;0,48
48024;Zeanuri;1,38;2,76;2,21;2,86
48025;Zeberio;1,56;1,21;1,32;2,50
20025;Zegama;1,27;1,92;2,27;2,95
20026;Zerain;6,25;5,71;3,51;7,41
20027;Zestoa;2,56;2,39;2,54;3,00
48913;Zierbena;0,00;0,00;0,00;0,00
01018;Zigoitia;1,75;2,02;2,05;2,49
48915;Ziortza-Bolibar;4,49;5,81;5,75;7,78
20028;Zizurkil;1,08;0,96;1,01;1,34
01063;Zuia;0,93;1,65;1,52;1,83
20081;Zumaia;0,44;0,36;0,34;0,62
20080;Zumarraga;0,26;0,21;0,22;0,31
