Indicadores municipales de sostenibilidad: Mujeres ocupadas en el sector servicios (% sobre total mujeres ocupadas);;;;;
"";;;;;
Resumen de datos;;;;;
01057;Villabuena de Álava/Eskuernaga;71,19;65,52;64,15;59,18
01059;Vitoria-Gasteiz;89,50;89,67;89,17;89,48
01060;Yécora/Iekora;65,00;54,84;38,89;36,67
48095;Zaldibar;78,69;78,97;78,81;78,08
20078;Zaldibia;82,01;81,65;82,62;82,88
01061;Zalduondo;82,81;85,45;82,35;80,00
48096;Zalla;92,28;92,46;91,67;91,59
01062;Zambrana;77,94;83,54;82,67;87,50
48905;Zamudio;88,50;87,21;87,19;86,43
48097;Zaratamo;90,03;90,11;89,52;89,53
20079;Zarautz;87,85;87,70;87,91;87,79
48024;Zeanuri;92,73;91,38;93,38;90,71
48025;Zeberio;89,88;91,09;87,67;87,92
20025;Zegama;86,35;83,39;83,44;83,61
20026;Zerain;73,44;74,29;71,93;64,81
20027;Zestoa;82,95;84,13;84,20;83,51
48913;Zierbena;92,57;92,09;92,90;91,82
01018;Zigoitia;84,29;86,65;86,19;85,04
48915;Ziortza-Bolibar;76,40;74,42;73,56;70,00
20028;Zizurkil;85,56;86,70;86,99;86,62
01063;Zuia;90,19;89,17;88,83;86,79
20081;Zumaia;86,73;86,89;86,45;86,68
20080;Zumarraga;87,95;87,90;86,97;86,91
