Indicadores municipales de sostenibilidad: Población perceptora de pensiones no contributivas (? habitantes);;;;;
"";;;;;
Resumen de datos;;;;;
Entidad;;2006;2005;2004;2003
48002;Abanto y Ciérvana-Abanto Zierbena;7,42;7,78;8,21;7,80
20002;Aduna;0,00;0,00;0,00;0,00
20016;Aia;6,62;7,23;7,84;9,02
20003;Aizarnazabal;6,40;4,83;4,79;3,17
48911;Ajangiz;16,06;0,00;0,00;0,00
20004;Albiztur;3,45;3,47;3,42;3,38
20005;Alegia;7,20;6,65;6,79;5,68
01001;Alegría-Dulantzi;1,75;2,73;3,76;3,90
20006;Alkiza;6,29;6,31;6,49;6,69
48912;Alonsotegi;5,69;5,74;7,21;6,86
20906;Altzaga;0,00;0,00;0,00;0,00
20007;Altzo;5,32;5,54;5,51;5,46
20008;Amezketa;6,39;5,21;6,31;7,42
48003;Amorebieta-Etxano;4,29;4,90;5,25;5,23
48004;Amoroto;9,85;10,00;7,44;7,39
01002;Amurrio;2,54;2,68;2,81;3,79
20009;Andoain;3,68;4,06;4,35;4,78
20010;Anoeta;2,27;2,29;2,28;2,28
20011;Antzuola;5,69;4,74;5,24;5,74
48005;Arakaldo;10,53;0,00;0,00;0,00
20012;Arama;11,05;11,70;11,98;6,13
01003;Aramaio;0,65;1,32;0,67;2,02
48006;Arantzazu;3,32;3,34;3,39;3,44
48093;Areatza;2,80;3,81;4,84;5,91
20013;Aretxabaleta;1,99;2,16;1,90;2,27
01006;Armiñón;0,00;0,00;0,00;0,00
01037;Arraia-Maeztu;0,00;0,00;0,00;0,00
48009;Arrankudiaga;5,88;1,19;1,20;3,65
20055;Arrasate/Mondragón;15,24;15,60;16,47;16,91
48914;Arratzu;5,78;2,84;2,88;2,92
01008;Arratzua-Ubarrundia;0,00;0,00;0,00;1,21
48010;Arrieta;3,63;10,99;9,24;7,45
48011;Arrigorriaga;6,71;4,82;4,21;3,93
48023;Artea;7,41;4,52;6,03;4,53
48008;Artzentales;17,60;7,33;5,93;5,97
01004;Artziniega;2,35;2,98;2,43;2,48
01009;Asparrena;5,09;5,71;6,34;5,09
20014;Asteasu;6,25;7,01;6,41;6,53
20903;Astigarraga;4,62;4,46;4,35;4,97
20015;Ataun;1,89;1,27;1,92;3,22
48091;Atxondo;2,79;3,52;2,86;4,35
48070;Aulesti;22,32;2,99;4,52;3,03
01010;Ayala/Aiara;2,59;3,76;3,45;3,52
20017;Azkoitia;4,67;4,90;4,92;5,99
20018;Azpeitia;5,78;5,79;5,74;5,76
01049;Añana;11,05;5,59;5,46;5,35
48012;Bakio;5,06;4,72;4,84;3,96
20904;Baliarrain;0,00;0,00;0,00;0,00
48090;Balmaseda;6,36;6,69;7,56;7,57
48013;Barakaldo;7,75;6,52;6,61;6,66
48014;Barrika;7,20;7,32;5,90;5,19
01013;Barrundia;1,23;1,25;1,28;1,32
48015;Basauri;4,78;5,17;5,50;5,34
01011;Baños de Ebro/Mañueta;5,60;5,45;5,83;6,27
20019;Beasain;3,75;3,10;3,54;3,41
48092;Bedia;6,15;6,20;5,18;6,21
20020;Beizama;5,85;5,88;5,95;6,02
20021;Belauntza;10,00;6,64;6,94;10,91
48016;Berango;3,66;3,93;4,00;5,09
01014;Berantevilla;2,14;2,19;0,00;0,00
20022;Berastegi;3,05;3,05;3,09;2,08
20074;Bergara;2,52;2,92;3,20;3,61
48017;Bermeo;9,59;11,11;11,22;11,68
01016;Bernedo;0,00;0,00;0,00;0,00
48018;Berriatua;3,26;3,45;3,57;3,69
48019;Berriz;6,28;4,92;4,80;5,79
20023;Berrobi;3,47;3,45;1,76;1,81
20024;Bidania-Goiatz;8,47;10,68;8,53;8,51
48020;Bilbao;8,14;9,18;9,38;9,59
48021;Busturia;8,70;9,33;8,78;9,38
01017;Campezo/Kanpezu;8,21;8,37;8,26;9,99
20029;Deba;3,56;3,78;4,19;4,43
48901;Derio;3,60;4,43;4,71;5,58
48026;Dima;4,08;5,00;4,99;4,97
20069;Donostia / San Sebastián;5,71;5,59;5,80;5,99
48027;Durango;3,33;3,66;3,70;3,79
48028;Ea;9,26;11,63;10,51;9,38
20030;Eibar;4,74;4,97;5,04;5,07
48031;Elantxobe;13,42;4,55;4,48;6,62
01021;Elburgo/Burgelu;1,93;1,98;2,03;2,08
01022;Elciego;3,89;5,14;5,08;5,04
20031;Elduain;0,00;0,00;0,00;0,00
20033;Elgeta;2,95;3,01;4,00;2,99
20032;Elgoibar;4,82;5,61;5,63;5,94
48032;Elorrio;5,08;5,39;5,29;4,89
01023;Elvillar/Bilar;0,00;0,00;0,00;0,00
48902;Erandio;6,11;6,66;6,77;7,05
48033;Ereño;0,00;0,00;0,00;0,00
48034;Ermua;6,61;7,05;7,59;7,31
20067;Errenteria;5,06;5,50;5,61;6,16
20066;Errezil;1,60;1,63;4,94;4,98
01046;Erriberagoitia/Ribera Alta;2,72;2,84;2,87;4,37
48079;Errigoiti;7,87;9,86;7,87;7,83
20034;Eskoriatza;1,78;2,05;2,05;2,83
48029;Etxebarri;5,17;5,28;4,95;4,74
48030;Etxebarria;3,67;3,74;3,78;2,54
20035;Ezkio-Itsaso;3,62;3,61;3,50;3,41
48906;Forua;7,38;7,25;6,20;6,18
48035;Fruiz;9,93;2,49;2,52;2,54
20038;Gabiria;2,35;2,39;2,44;2,50
20037;Gaintza;0,00;0,00;0,00;0,00
48036;Galdakao;4,16;3,61;3,88;3,66
48037;Galdames;8,43;8,53;7,24;8,35
48038;Gamiz-Fika;10,94;3,92;3,93;2,37
48039;Garai;0,00;0,00;0,00;0,00
48040;Gatika;4,83;6,36;6,43;5,76
48041;Gautegiz Arteaga;3,42;4,57;4,61;3,48
20907;Gaztelu;0,00;0,00;0,00;0,00
48046;Gernika-Lumo;4,74;5,25;5,76;6,20
20039;Getaria;2,01;2,02;2,43;2,02
48044;Getxo;3,73;4,27;4,08;4,04
48047;Gizaburuaga;0,00;0,00;0,00;0,00
48042;Gordexola;7,96;7,43;8,11;8,16
48043;Gorliz;6,02;4,99;5,50;5,39
48045;Güeñes;3,70;4,05;4,77;5,00
01056;Harana/Valle de Arana;0,00;0,00;0,00;2,87
20040;Hernani;6,82;7,02;7,63;7,99
20041;Hernialde;6,10;6,12;6,21;9,46
20036;Hondarribia;2,75;2,96;2,79;3,13
20042;Ibarra;3,07;4,23;4,71;4,96
48048;Ibarrangelu;5,07;3,41;3,44;6,90
20043;Idiazabal;3,25;2,35;2,84;3,34
48094;Igorre;4,23;3,78;3,55;3,81
20044;Ikaztegieta;20,22;20,41;18,69;21,74
20045;Irun;5,20;5,42;5,46;5,84
20046;Irura;0,00;1,66;1,70;0,87
01027;Iruraiz-Gauna;0,00;0,00;1,99;1,99
