Indicadores municipales de sostenibilidad: Renta personal total (Base CAE=100);;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;
48005;Arakaldo;97,93;101,86;102,16;109,06;112,19;116,68;114,32;112,66;109,74;96,47;106,14;112,45;108,55;101,86;102,12;102,05
20012;Arama;134,67;132,09;119,85;124,26;127,40;126,85;143,46;129,26;138,54;122,21;138,52;116,58;100,24;101,62;99,18;92,14
01003;Aramaio;101,84;102,84;104,50;115,92;110,70;111,60;117,88;113,72;112,66;109,26;118,77;109,86;102,38;110,46;110,28;100,67
48006;Arantzazu;102,40;101,47;105,57;103,39;107,15;108,26;110,83;114,48;107,80;112,69;111,34;109,81;101,34;113,29;107,18;107,49
48093;Areatza;88,50;89,78;89,28;92,73;93,28;92,43;92,91;91,09;96,33;94,01;90,19;88,43;96,83;90,58;91,62;96,54
20013;Aretxabaleta;109,73;109,45;111,48;112,08;112,64;114,12;110,14;108,00;102,78;105,70;107,95;114,52;108,27;118,91;120,95;122,30
01006;Armiñón;90,14;106,76;94,49;94,27;93,49;88,54;84,59;94,99;89,40;87,86;94,88;90,52;117,79;92,63;94,00;89,21
01037;Arraia-Maeztu;99,65;158,40;102,45;269,35;108,64;101,05;95,90;104,28;98,18;100,72;100,91;94,49;92,58;90,94;87,34;80,87
48009;Arrankudiaga;107,11;108,13;101,86;100,97;99,09;102,56;113,41;105,11;105,63;104,05;104,16;105,05;99,46;109,68;95,11;95,57
20055;Arrasate/Mondragón;99,66;100,33;102,62;104,31;103,39;103,10;100,81;97,97;95,50;98,10;99,87;101,05;100,12;105,63;108,85;107,39
48914;Arratzu;108,91;108,06;109,22;109,34;109,03;110,00;109,04;110,13;107,55;106,70;102,50;101,27;96,63;97,34;103,41;102,20
01008;Arratzua-Ubarrundia;148,87;118,52;119,06;123,35;120,06;125,00;130,73;130,82;129,27;135,84;155,53;140,63;122,50;135,91;122,70;106,93
48010;Arrieta;113,57;117,55;111,84;120,51;115,70;126,99;109,89;109,69;116,02;108,74;105,54;107,22;98,16;96,49;88,96;78,09
48011;Arrigorriaga;90,69;91,40;92,56;91,15;90,79;90,05;90,52;92,21;91,27;91,75;92,79;94,09;93,84;97,72;91,42;91,14
48023;Artea;106,56;108,60;109,53;111,92;110,22;115,96;112,65;106,05;113,11;110,17;104,22;103,46;100,71;103,99;108,79;105,93
48008;Artzentales;84,65;83,05;85,76;80,36;87,01;81,01;81,29;82,85;80,40;84,41;78,86;86,22;84,30;84,39;81,02;77,88
01004;Artziniega;91,96;88,54;88,32;89,84;91,69;89,77;92,38;93,21;95,65;96,42;94,53;94,22;89,34;88,80;100,95;89,17
01009;Asparrena;84,55;86,41;92,76;95,04;94,51;93,91;96,58;93,74;98,83;94,57;93,34;92,06;80,96;87,97;89,77;86,33
20014;Asteasu;100,20;104,73;102,73;102,71;99,63;109,49;101,91;101,67;99,70;99,88;100,66;99,60;91,81;106,36;97,47;86,24
20903;Astigarraga;111,91;110,84;113,51;112,56;109,32;107,24;105,76;104,49;109,36;103,32;102,12;100,08;93,13;94,52;94,26;89,97
20015;Ataun;108,18;110,67;111,15;110,29;112,85;109,53;109,55;109,45;111,30;111,96;109,11;104,65;83,19;102,86;95,49;96,07
48091;Atxondo;95,26;95,98;94,57;91,29;96,10;91,53;93,08;92,41;91,45;92,46;92,67;95,31;93,51;98,17;97,51;96,69
48070;Aulesti;89,39;90,44;92,45;94,60;94,56;94,20;97,59;97,47;95,89;97,04;94,29;90,20;85,56;87,52;89,44;89,33
01010;Ayala/Aiara;94,96;97,87;99,36;98,39;100,17;97,90;98,56;99,19;101,95;100,57;100,31;100,58;97,52;102,41;93,07;81,89
20017;Azkoitia;104,21;104,22;104,82;103,45;105,06;103,07;100,90;100,34;100,97;99,68;98,33;98,21;96,49;100,71;100,23;96,17
20018;Azpeitia;102,30;102,09;103,61;117,40;102,34;101,66;101,50;101,67;100,18;99,49;98,33;105,34;92,23;105,22;104,62;101,94
01049;Añana;90,75;100,65;95,85;90,11;84,27;84,34;92,11;83,47;77,26;89,63;88,27;81,91;75,07;83,69;80,87;82,18
48012;Bakio;115,52;119,78;120,36;132,81;118,24;121,97;123,15;133,04;121,37;123,78;125,11;122,32;119,58;125,00;109,16;103,29
20904;Baliarrain;118,18;118,49;110,55;108,83;112,60;116,58;105,65;111,85;111,79;120,36;108,24;100,92;85,49;84,66;77,97;81,98
48090;Balmaseda;78,29;79,84;78,59;78,80;77,81;77,18;77,59;77,60;76,87;75,94;78,05;77,67;81,78;78,71;77,32;79,28
48013;Barakaldo;83,34;84,66;83,95;83,16;82,46;83,24;83,44;83,96;84,89;84,88;84,00;84,52;85,49;83,20;82,72;81,73
48014;Barrika;116,13;118,26;110,75;109,38;108,88;110,73;107,17;109,67;114,36;139,62;121,61;122,64;123,59;111,86;110,60;106,92
01013;Barrundia;101,64;107,88;107,22;108,12;105,97;110,34;112,27;112,78;114,82;117,49;122,61;116,01;106,13;117,89;102,39;96,66
48015;Basauri;79,57;80,84;81,47;80,93;81,00;80,79;81,03;81,46;82,50;82,76;83,37;83,94;80,24;83,83;85,58;85,74
01011;Baños de Ebro/Mañueta;48,37;60,37;58,64;70,46;68,30;72,96;77,56;71,26;69,93;65,57;61,89;67,62;58,68;74,03;81,48;91,87
20019;Beasain;108,51;112,14;111,68;112,15;120,06;113,45;117,30;113,00;110,00;110,55;111,43;108,46;104,69;107,95;108,19;105,73
48092;Bedia;96,78;93,89;93,29;94,12;94,30;92,63;90,85;89,79;92,70;98,27;91,90;90,03;91,40;91,46;93,95;94,00
20020;Beizama;105,40;86,79;100,94;109,29;85,82;110,16;88,34;83,52;94,40;79,19;89,27;107,27;91,04;104,96;97,63;78,63
20021;Belauntza;124,68;95,20;100,13;99,79;96,94;96,70;102,78;107,13;96,51;100,81;107,41;113,31;95,97;90,67;105,28;89,84
48016;Berango;118,10;120,43;119,34;122,00;124,62;128,66;122,86;125,04;123,41;124,68;129,77;121,77;120,86;115,51;101,11;98,96
01014;Berantevilla;92,23;90,62;84,73;81,04;84,22;83,98;84,14;85,73;88,62;99,04;95,49;86,53;107,71;85,85;81,57;77,70
20022;Berastegi;115,75;107,98;109,94;107,68;107,22;103,18;101,17;100,52;103,75;102,03;103,84;101,28;100,74;97,71;90,12;92,13
