Indicadores municipales de sostenibilidad: Tasa de afiliación a la S.S. Sector Construcción  (% sobre total personas afiliadas);;;;;;;;;;;;
"";;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
48036;Galdakao;5,26;5,19;5,19;5,19;5,16;5,09;5,25;5,37;5,38;5,73;6,04
48037;Galdames;7,12;4,58;5,69;5,05;4,09;5,05;5,38;6,69;8,00;9,34;9,41
48038;Gamiz-Fika;3,35;3,41;3,60;3,79;3,78;3,50;3,90;4,16;4,35;4,85;4,60
48039;Garai;5,23;5,00;5,67;5,76;6,02;4,72;4,96;5,13;4,63;4,76;6,19
48040;Gatika;4,62;5,07;4,54;4,28;4,05;4,24;4,31;4,72;5,07;5,18;6,11
48041;Gautegiz Arteaga;4,01;4,66;4,23;4,78;5,33;5,56;5,68;5,57;5,96;6,62;8,60
20907;Gaztelu;10,00;12,73;11,11;14,58;14,29;14,00;10,42;13,04;16,33;12,77;17,91
48046;Gernika-Lumo;6,27;5,81;6,05;5,78;5,94;5,93;5,38;5,24;5,25;5,34;5,94
20039;Getaria;3,35;3,59;3,85;3,72;3,56;3,59;3,25;2,97;3,72;3,84;3,73
48044;Getxo;4,22;4,25;4,43;4,36;4,35;4,21;4,17;4,16;4,20;4,31;4,51
48047;Gizaburuaga;2,41;2,47;3,75;2,67;2,74;2,70;2,74;2,60;4,05;3,90;5,06
48042;Gordexola;4,22;3,65;3,70;3,91;4,24;4,38;4,15;3,14;3,46;3,38;4,48
48043;Gorliz;5,45;5,31;5,29;5,25;5,12;5,06;5,40;5,38;5,48;5,62;6,19
48045;Güeñes;6,56;6,89;6,69;6,75;6,85;6,68;6,76;7,00;6,58;6,81;7,61
01056;Harana/Valle de Arana;12,20;10,96;9,86;10,96;12,00;10,84;10,71;11,90;10,23;9,20;10,71
20040;Hernani;6,30;6,30;6,47;6,57;6,49;6,48;6,48;6,70;6,97;6,93;7,26
20041;Hernialde;8,11;11,11;10,64;9,59;9,55;10,32;9,15;11,76;12,26;11,66;15,43
20036;Hondarribia;5,21;5,28;5,29;5,42;5,33;5,21;5,15;5,20;5,26;5,24;5,84
20042;Ibarra;5,68;5,35;5,11;5,41;5,55;5,24;5,20;5,58;6,09;5,95;6,26
48048;Ibarrangelu;6,53;5,91;5,91;5,69;6,64;7,28;7,69;6,77;5,85;5,82;6,52
20043;Idiazabal;3,75;3,95;3,94;3,73;3,67;3,56;3,98;4,27;4,46;4,76;4,93
48094;Igorre;5,49;5,42;4,62;4,77;3,99;4,31;4,36;4,82;5,12;4,92;5,98
20044;Ikaztegieta;5,08;5,00;3,37;4,10;3,63;3,52;3,61;3,14;2,13;4,21;2,75
20045;Irun;6,38;6,68;6,69;6,64;6,60;6,51;6,53;6,50;6,57;6,86;6,95
20046;Irura;4,67;4,37;4,67;5,02;5,12;4,49;4,27;4,37;4,93;4,83;5,19
01027;Iruraiz-Gauna;3,14;2,80;3,29;2,02;2,49;3,38;1,75;2,18;1,32;2,64;3,18
01901;Iruña Oka/Iruña de Oca;6,22;6,38;6,42;6,50;5,87;4,95;5,05;5,42;5,65;6,12;6,52
48049;Ispaster;4,46;5,51;5,64;6,51;7,17;7,38;6,48;7,35;6,67;6,38;7,33
20047;Itsasondo;6,21;6,96;5,58;5,93;5,80;5,58;5,06;4,90;4,18;5,15;4,44
48910;Iurreta;4,75;5,24;5,14;5,16;5,15;4,93;5,03;5,08;4,97;4,68;5,32
48050;Izurtza;3,92;4,81;3,70;3,67;3,51;3,57;2,68;3,57;5,36;3,54;5,56
48022;Karrantza Harana/Valle de Carranza;5,45;5,01;5,01;5,14;5,62;5,17;5,07;5,24;5,62;4,93;6,42
48907;Kortezubi;4,89;4,57;6,25;6,15;4,60;5,59;4,52;5,65;7,06;4,24;6,37
01019;Kripan;2,41;0,00;0,00;0,00;0,00;0,00;0,00;1,69;1,85;1,89;1,85
01020;Kuartango;6,47;5,93;6,11;7,80;6,52;7,63;7,46;6,72;6,72;7,56;5,56
01028;Labastida/Bastida;5,66;5,01;5,06;6,33;6,97;7,06;7,20;7,87;9,18;8,72;8,91
01030;Lagrán;10,53;9,68;9,68;11,54;12,50;7,69;9,68;6,25;5,56;8,11;9,30
01031;Laguardia;4,42;4,98;4,86;5,10;4,91;5,06;4,74;4,83;4,65;5,16;5,02
01032;Lanciego/Lantziego;5,99;4,06;4,66;4,04;3,83;3,63;3,68;4,30;4,42;5,03;6,90
48051;Lanestosa;8,33;11,48;11,94;10,94;11,29;10,34;9,43;13,11;11,48;11,86;12,73
01902;Lantarón;3,83;4,04;4,23;4,02;2,64;2,73;3,18;3,26;2,07;0,97;2,33
01033;Lapuebla de Labarca;3,61;2,17;2,51;2,83;2,42;2,78;2,71;3,45;2,83;4,63;5,07
48052;Larrabetzu;4,27;4,62;4,04;4,36;4,09;4,81;4,88;4,78;5,01;5,44;6,14
20048;Larraul;6,52;7,14;6,84;6,90;9,17;9,65;11,61;12,87;12,24;11,88;14,85
20902;Lasarte-Oria;6,82;6,95;6,93;7,03;6,91;6,71;7,02;7,02;7,39;7,04;7,41
01036;Laudio/Llodio;4,54;4,40;4,66;4,39;4,51;4,22;4,17;4,35;4,53;4,72;5,29
48053;Laukiz;5,82;5,35;5,65;6,30;6,63;7,02;7,32;7,11;7,13;7,36;8,53
20049;Lazkao;6,48;6,36;6,15;5,81;5,40;5,37;5,43;5,49;5,35;4,81;5,50
20050;Leaburu;10,05;10,99;12,21;11,70;11,24;12,42;12,67;15,13;14,77;16,34;17,04
20051;Legazpi;5,08;5,16;4,95;5,04;5,09;4,99;4,98;4,84;5,08;5,45;5,77
20052;Legorreta;5,21;5,24;4,83;4,47;5,24;3,79;3,55;4,07;4,10;4,69;5,99
01058;Legutio;4,06;3,35;4,02;3,70;3,66;3,26;3,55;3,64;3,99;4,71;5,12
20068;Leintz-Gatzaga;2,15;4,08;4,00;3,96;3,00;3,92;4,12;3,92;4,00;5,05;4,00
48054;Leioa;5,62;5,56;5,58;5,54;5,60;5,45;5,47;5,35;5,52;5,66;6,02
48057;Lekeitio;4,05;4,05;3,91;3,74;3,87;3,62;3,92;4,14;4,44;4,45;4,68
48055;Lemoa;5,57;5,58;5,68;5,51;5,49;5,01;4,59;5,15;5,10;4,46;5,17
48056;Lemoiz;5,86;5,53;5,16;5,85;5,72;6,42;7,36;7,03;6,92;7,30;7,34
01034;Leza;1,22;2,63;1,25;2,50;2,53;2,44;2,53;2,50;2,38;2,67;4,05
48081;Lezama;5,71;5,43;5,45;5,78;5,56;5,97;5,87;6,00;6,00;5,57;6,33
20053;Lezo;7,51;7,63;7,34;7,13;7,15;7,37;7,56;8,27;8,58;8,37;9,11
20054;Lizartza;5,52;5,56;5,70;6,15;6,23;6,59;5,51;5,97;6,69;7,17;8,01
48903;Loiu;6,45;6,16;5,08;5,30;5,12;5,66;5,61;5,60;5,43;5,88;5,65
48058;Mallabia;4,15;4,04;4,44;4,38;4,07;4,06;3,65;3,75;4,50;4,33;5,08
48060;Markina-Xemein;4,33;4,37;4,38;4,65;3,96;3,99;4,15;4,36;4,75;5,04;5,65
48061;Maruri-Jatabe;3,41;2,81;2,67;2,39;1,80;2,10;2,88;3,96;4,18;4,40;4,94
48059;Mañaria;7,51;7,32;7,32;6,02;6,48;7,51;8,41;7,24;6,31;7,65;8,67
20901;Mendaro;4,36;3,76;3,90;3,92;4,06;3,69;3,81;3,65;3,53;4,19;4,45
48062;Mendata;10,88;9,93;9,74;10,39;10,27;11,19;9,77;8,96;9,38;11,11;11,72
48063;Mendexa;5,68;6,78;8,62;8,98;8,72;9,70;10,18;9,62;9,62;10,42;10,95
48064;Meñaka;5,00;5,78;5,21;5,10;6,12;5,19;5,47;6,02;5,81;7,20;6,75
01039;Moreda de Álava / Moreda Araba;2,83;1,47;1,56;2,86;2,94;3,17;3,03;3,33;3,77;7,14;8,93
48066;Morga;3,53;4,85;5,84;5,10;5,77;5,00;5,44;6,04;6,04;6,29;5,71
48068;Mundaka;4,68;4,71;4,76;4,55;4,95;5,59;5,08;4,75;5,61;6,54;6,83
48069;Mungia;4,49;4,43;4,27;4,33;4,45;4,34;4,26;4,64;4,64;4,71;5,03
48007;Munitibar-Arbatzegi Gerrikaitz-;5,11;5,85;6,06;6,21;5,00;5,13;4,32;5,49;5,81;5,52;6,25
48908;Murueta;3,51;1,96;2,13;2,27;2,27;2,44;2,38;5,13;2,56;5,26;5,13
48071;Muskiz;8,44;9,19;8,65;8,99;8,55;8,81;8,67;8,71;9,10;9,18;9,79
