Indicadores municipales de sostenibilidad: Tasa de afiliación.a la S.S. Sector Primario (% sobre total personas afiliadas);;;;;;;;;;;;
"";;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
48091;Atxondo;3,07;2,63;2,97;3,40;3,54;3,46;3,53;2,84;3,81;3,14;3,36
48070;Aulesti;2,30;1,23;1,28;2,56;3,95;6,76;7,79;7,79;8,45;7,46;10,00
01010;Ayala/Aiara;6,38;7,15;7,21;7,19;7,42;7,88;7,72;8,31;8,48;8,62;9,22
20017;Azkoitia;0,97;1,00;0,83;0,88;0,94;1,17;1,04;1,15;1,17;1,15;1,17
20018;Azpeitia;1,50;1,68;1,74;1,71;1,77;1,74;1,77;1,74;1,67;1,66;1,54
01049;Añana;10,87;11,11;12,20;12,50;11,11;12,28;11,76;11,54;15,69;17,39;17,31
48012;Bakio;3,95;4,12;4,12;3,96;4,19;4,46;4,12;5,05;4,81;4,78;5,03
20904;Baliarrain;4,69;3,45;3,70;3,77;5,56;4,00;2,22;2,00;4,08;3,92;4,00
48090;Balmaseda;0,64;0,49;0,54;0,50;0,46;0,44;0,45;0,57;0,73;0,32;0,40
48013;Barakaldo;0,24;0,15;0,16;0,16;0,13;0,13;0,13;0,12;0,13;0,10;0,10
48014;Barrika;0,79;0,89;0,91;0,54;0,91;0,74;0,56;0,76;0,57;0,94;0,94
01013;Barrundia;14,32;15,04;15,56;15,72;15,90;15,99;15,76;17,53;17,76;18,37;19,32
48015;Basauri;0,27;0,16;0,16;0,19;0,15;0,12;0,11;0,12;0,11;0,16;0,11
01011;Baños de Ebro/Mañueta;54,17;61,02;61,95;62,73;63,39;64,60;63,79;66,67;66,96;66,36;68,18
20019;Beasain;0,37;0,32;0,32;0,33;0,33;0,35;0,41;0,31;0,30;0,39;0,36
48092;Bedia;0,58;0,65;0,67;0,46;0,65;0,69;0,47;0,50;0,00;1,06;0,80
20020;Beizama;11,76;11,76;12,12;12,12;13,11;13,85;15,00;14,55;12,50;14,04;13,46
20021;Belauntza;3,08;3,12;3,33;3,12;3,17;3,97;4,00;4,07;3,31;3,08;2,99
48016;Berango;0,39;0,42;0,50;0,46;0,44;0,52;0,67;0,54;0,52;0,46;0,46
01014;Berantevilla;15,61;17,90;19,74;20,51;20,95;20,53;21,58;24,44;25,18;26,39;27,56
20022;Berastegi;1,95;2,56;3,00;2,87;2,89;3,22;3,70;3,98;4,63;5,07;5,54
20074;Bergara;0,74;0,72;0,72;0,77;0,80;0,84;0,83;0,81;0,69;0,65;0,65
48017;Bermeo;5,40;5,27;5,84;5,99;5,93;5,01;5,29;5,67;5,96;6,39;6,01
