Indicadores municipales de sostenibilidad: Renta personal total (?);;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;
20008;Amezketa;25.483,00;26.035,00;23.815,00;24.849,00;23.152,00;22.662,00;21.165,00;20.020,00;19.539,00;19.101,00;19.754,00;18.559,00;15.303,00;14.132,00;13.138,00;9.884,00
48003;Amorebieta-Etxano;25.125,00;23.373,00;22.329,00;22.606,00;21.588,00;21.281,00;20.108,00;19.813,00;19.418,00;19.244,00;19.264,00;20.063,00;17.142,00;13.926,00;12.468,00;9.563,00
48004;Amoroto;24.294,00;22.518,00;20.947,00;21.585,00;20.562,00;20.428,00;19.570,00;19.728,00;19.149,00;18.734,00;18.022,00;18.070,00;15.013,00;12.698,00;11.340,00;9.373,00
01002;Amurrio;23.099,00;21.819,00;20.748,00;21.462,00;20.283,00;19.735,00;18.951,00;19.394,00;19.368,00;19.241,00;19.311,00;18.556,00;16.421,00;12.866,00;11.948,00;8.986,00
20009;Andoain;23.256,00;21.747,00;21.416,00;20.959,00;19.955,00;19.644,00;19.266,00;18.741,00;18.113,00;18.146,00;18.381,00;18.348,00;15.647,00;12.461,00;11.282,00;8.678,00
20010;Anoeta;23.878,00;22.736,00;21.891,00;21.598,00;20.857,00;20.009,00;19.379,00;18.642,00;18.440,00;18.771,00;19.054,00;18.362,00;15.533,00;12.805,00;11.817,00;9.113,00
20011;Antzuola;29.179,00;27.629,00;26.374,00;27.158,00;26.402,00;26.209,00;24.507,00;23.880,00;22.106,00;22.174,00;22.297,00;21.863,00;18.543,00;15.672,00;13.993,00;10.897,00
48005;Arakaldo;24.541,00;23.746,00;22.825,00;24.590,00;24.073,00;24.599,00;23.201,00;22.495,00;21.267,00;18.638,00;20.925,00;22.075,00;18.846,00;13.901,00;12.945,00;10.091,00
20012;Arama;33.750,00;30.795,00;26.779,00;28.018,00;27.337,00;26.744,00;29.115,00;25.810,00;26.847,00;23.610,00;27.309,00;22.886,00;17.403,00;13.868,00;12.572,00;9.111,00
01003;Aramaio;25.521,00;23.976,00;23.349,00;26.138,00;23.754,00;23.529,00;23.924,00;22.708,00;21.832,00;21.107,00;23.416,00;21.567,00;17.775,00;15.075,00;13.979,00;9.954,00
48006;Arantzazu;25.663,00;23.656,00;23.587,00;23.313,00;22.993,00;22.824,00;22.492,00;22.859,00;20.891,00;21.771,00;21.951,00;21.557,00;17.595,00;15.461,00;13.586,00;10.629,00
48093;Areatza;22.179,00;20.930,00;19.948,00;20.909,00;20.017,00;19.488,00;18.856,00;18.189,00;18.668,00;18.161,00;17.780,00;17.359,00;16.812,00;12.362,00;11.614,00;9.546,00
20013;Aretxabaleta;27.499,00;25.516,00;24.908,00;25.272,00;24.171,00;24.059,00;22.353,00;21.565,00;19.917,00;20.421,00;21.282,00;22.482,00;18.797,00;16.227,00;15.332,00;12.093,00
01006;Armiñón;22.589,00;24.889,00;21.113,00;21.256,00;20.062,00;18.666,00;17.167,00;18.967,00;17.324,00;16.973,00;18.705,00;17.770,00;20.451,00;12.641,00;11.915,00;8.821,00
01037;Arraia-Maeztu;24.974,00;36.927,00;22.891,00;60.733,00;23.311,00;21.305,00;19.462,00;20.822,00;19.027,00;19.459,00;19.894,00;18.550,00;16.073,00;12.411,00;11.071,00;7.996,00
48009;Arrankudiaga;26.842,00;25.209,00;22.758,00;22.767,00;21.262,00;21.623,00;23.016,00;20.989,00;20.471,00;20.102,00;20.536,00;20.622,00;17.268,00;14.968,00;12.056,00;9.450,00
20055;Arrasate/Mondragón;24.977,00;23.391,00;22.928,00;23.520,00;22.185,00;21.736,00;20.460,00;19.562,00;18.506,00;18.952,00;19.689,00;19.837,00;17.383,00;14.415,00;13.798,00;10.619,00
48914;Arratzu;27.295,00;25.191,00;24.404,00;24.654,00;23.396,00;23.191,00;22.129,00;21.991,00;20.842,00;20.613,00;20.207,00;19.880,00;16.777,00;13.284,00;13.108,00;10.106,00
01008;Arratzua-Ubarrundia;37.309,00;27.631,00;26.601,00;27.812,00;25.762,00;26.353,00;26.531,00;26.122,00;25.052,00;26.242,00;30.663,00;27.608,00;21.268,00;18.547,00;15.553,00;10.573,00
48010;Arrieta;28.463,00;27.404,00;24.988,00;27.173,00;24.827,00;26.773,00;22.302,00;21.902,00;22.484,00;21.008,00;20.807,00;21.049,00;17.042,00;13.168,00;11.276,00;7.722,00
48011;Arrigorriaga;22.729,00;21.308,00;20.681,00;20.553,00;19.481,00;18.986,00;18.372,00;18.412,00;17.687,00;17.725,00;18.294,00;18.470,00;16.292,00;13.336,00;11.588,00;9.012,00
48023;Artea;26.706,00;25.317,00;24.472,00;25.236,00;23.650,00;24.447,00;22.862,00;21.176,00;21.920,00;21.284,00;20.546,00;20.310,00;17.486,00;14.191,00;13.790,00;10.474,00
48008;Artzentales;21.214,00;19.361,00;19.162,00;18.120,00;18.671,00;17.080,00;16.498,00;16.543,00;15.580,00;16.308,00;15.548,00;16.926,00;14.636,00;11.517,00;10.270,00;7.701,00
01004;Artziniega;23.045,00;20.642,00;19.734,00;20.258,00;19.674,00;18.927,00;18.749,00;18.613,00;18.536,00;18.627,00;18.637,00;18.497,00;15.511,00;12.118,00;12.796,00;8.817,00
01009;Asparrena;21.190,00;20.144,00;20.726,00;21.429,00;20.279,00;19.798,00;19.601,00;18.718,00;19.153,00;18.270,00;18.402,00;18.072,00;14.057,00;12.005,00;11.379,00;8.536,00
20014;Asteasu;25.111,00;24.416,00;22.952,00;23.159,00;21.379,00;23.083,00;20.683,00;20.301,00;19.321,00;19.296,00;19.845,00;19.552,00;15.940,00;14.515,00;12.355,00;8.527,00
20903;Astigarraga;28.047,00;25.840,00;25.362,00;25.380,00;23.457,00;22.609,00;21.465,00;20.864,00;21.193,00;19.960,00;20.133,00;19.646,00;16.170,00;12.899,00;11.949,00;8.896,00
20015;Ataun;27.112,00;25.800,00;24.835,00;24.869,00;24.215,00;23.093,00;22.233,00;21.855,00;21.569,00;21.629,00;21.512,00;20.544,00;14.444,00;14.037,00;12.104,00;9.499,00
48091;Atxondo;23.873,00;22.375,00;21.129,00;20.584,00;20.621,00;19.297,00;18.891,00;18.452,00;17.723,00;17.863,00;18.269,00;18.710,00;16.236,00;13.397,00;12.360,00;9.561,00
48070;Aulesti;22.401,00;21.084,00;20.655,00;21.330,00;20.291,00;19.860,00;19.805,00;19.463,00;18.582,00;18.748,00;18.589,00;17.707,00;14.855,00;11.944,00;11.338,00;8.833,00
01010;Ayala/Aiara;23.799,00;22.817,00;22.200,00;22.186,00;21.494,00;20.641,00;20.003,00;19.807,00;19.757,00;19.430,00;19.777,00;19.744,00;16.931,00;13.976,00;11.797,00;8.097,00
20017;Azkoitia;26.117,00;24.296,00;23.421,00;23.326,00;22.544,00;21.731,00;20.478,00;20.035,00;19.567,00;19.257,00;19.386,00;19.279,00;16.752,00;13.744,00;12.705,00;9.509,00
