Indicadores municipales de sostenibilidad: Tasa de afiliación a la Seguridad Social por municipio de residencia  (% habitantes de 16 y más años);;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009
20021;Belauntza;55,74;53,97;51,93;58,74;57,80;57,01;56,56;55,66;53,30;55,08;55,65;59,44;59,44;56,86
48016;Berango;52,71;50,16;49,10;51,43;50,42;50,19;49,46;48,69;47,34;46,28;46,09;47,05;46,50;45,51
01014;Berantevilla;48,24;37,91;35,65;37,47;36,08;36,96;34,22;33,09;34,64;35,42;38,69;40,20;40,62;42,00
20022;Berastegi;57,77;52,48;53,18;52,63;51,84;50,35;50,47;49,94;48,41;48,88;48,66;49,77;49,11;48,33
20074;Bergara;52,79;50,67;49,81;50,00;49,62;48,74;47,90;47,84;46,95;46,96;47,68;49,91;50,40;50,97
48017;Bermeo;46,05;43,59;43,14;43,51;42,97;42,09;41,22;40,98;40,18;39,49;39,78;41,65;41,34;41,36
01016;Bernedo;36,96;34,99;36,44;36,29;36,64;36,67;36,85;40,47;38,99;39,43;39,64;39,45;42,09;41,23
48018;Berriatua;49,90;48,34;47,92;47,79;47,73;46,34;46,42;47,05;46,61;47,05;46,67;50,37;48,43;47,06
48019;Berriz;53,03;52,58;52,67;53,38;53,47;51,75;51,40;51,40;49,45;47,85;47,51;48,84;49,10;48,09
20023;Berrobi;56,80;51,30;50,40;51,79;48,89;47,58;47,99;47,35;45,73;46,38;45,32;46,39;45,23;48,65
20024;Bidania-Goiatz;54,85;55,35;53,51;51,31;52,67;55,09;55,56;55,26;50,12;50,12;51,19;49,42;47,32;45,52
48020;Bilbao;50,14;46,62;45,50;46,23;45,68;44,98;44,35;43,78;42,85;42,41;43,19;43,92;43,83;44,11
48021;Busturia;44,84;42,58;40,22;42,17;41,99;42,57;42,46;42,28;42,23;40,69;41,93;45,19;43,42;42,74
01017;Campezo/Kanpezu;47,51;41,54;39,87;44,13;44,59;43,55;42,67;41,49;39,52;38,25;36,63;39,86;39,82;41,74
20029;Deba;51,84;50,14;49,15;50,30;50,66;49,66;49,27;48,20;46,07;45,80;46,91;48,17;47,47;47,41
48901;Derio;53,25;51,17;49,23;53,41;52,19;51,32;50,11;46,72;45,41;44,52;45,12;46,33;47,02;46,63
48026;Dima;47,41;46,77;46,37;49,62;50,85;48,11;47,06;44,75;43,28;42,70;40,72;42,12;38,14;37,75
20069;Donostia / San Sebastián;53,23;49,49;48,71;49,95;49,48;48,86;48,28;47,80;46,89;46,39;46,74;47,58;47,40;47,85
48027;Durango;53,76;51,42;50,61;52,12;51,88;51,00;50,62;49,76;48,54;47,88;48,58;49,70;49,26;48,12
48028;Ea;37,78;37,91;37,20;37,45;37,17;35,56;35,66;34,78;36,09;34,11;35,95;35,93;33,58;32,33
20030;Eibar;51,86;49,29;48,32;49,04;49,03;48,30;47,20;46,36;45,02;44,21;45,06;47,02;47,04;47,53
48031;Elantxobe;37,18;31,53;34,73;35,09;32,62;31,33;32,12;29,91;29,28;26,97;27,12;32,53;28,32;28,54
01021;Elburgo/Burgelu;57,64;50,18;49,64;52,43;53,38;55,24;53,35;53,98;54,55;51,81;53,35;51,82;49,81;50,41
01022;Elciego;45,81;37,69;37,17;37,76;37,70;35,65;36,03;35,76;33,80;33,59;36,92;47,03;48,03;50,81
20031;Elduain;67,02;61,03;57,73;60,51;53,57;56,38;55,91;57,84;53,48;52,72;54,95;54,95;53,51;51,05
20033;Elgeta;58,34;54,90;55,52;55,77;54,73;53,20;54,10;53,29;51,81;52,90;51,11;50,11;49,89;50,05
20032;Elgoibar;52,72;51,58;51,06;51,65;50,75;50,25;50,02;49,33;48,54;47,92;48,14;49,71;49,23;49,54
48032;Elorrio;53,42;51,61;51,18;52,07;52,10;52,39;52,78;52,37;52,94;53,33;55,28;58,09;59,15;60,52
01023;Elvillar/Bilar;56,31;47,00;45,31;44,66;43,73;42,55;42,54;43,54;45,21;44,30;49,16;53,92;57,70;64,82
48902;Erandio;54,74;51,18;50,30;50,68;49,97;49,34;48,21;47,93;46,50;45,61;46,22;46,47;46,84;46,41
48033;Ereño;36,89;35,80;35,42;35,54;39,39;39,21;37,99;37,23;34,21;37,17;39,57;40,59;36,89;38,91
48034;Ermua;48,88;47,16;46,49;46,60;47,09;46,97;46,74;46,08;44,16;44,11;43,80;46,82;47,21;46,91
20067;Errenteria;52,79;50,01;48,99;50,02;49,77;49,14;48,03;47,25;46,30;45,70;46,31;48,09;49,23;50,24
20066;Errezil;61,17;61,89;58,59;55,56;53,12;51,66;51,97;52,73;50,91;50,92;52,52;52,63;52,18;50,98
01046;Erriberagoitia/Ribera Alta;39,33;36,99;36,34;39,47;38,32;38,79;39,65;37,45;35,68;35,40;35,01;34,01;33,88;33,29
48079;Errigoiti;44,39;41,94;41,04;42,52;41,59;43,06;40,09;35,96;34,42;33,78;33,55;34,32;30,14;33,62
20034;Eskoriatza;52,35;49,72;50,27;51,67;52,07;51,27;51,10;50,24;49,40;49,46;50,82;53,16;52,95;51,35
48029;Etxebarri;55,26;53,83;52,81;54,01;52,99;52,15;50,29;48,06;45,99;43,83;43,61;42,95;41,03;40,97
48030;Etxebarria;93,74;90,94;89,93;85,45;88,79;90,55;88,25;90,77;89,16;89,32;89,29;95,25;91,67;95,10
20035;Ezkio-Itsaso;51,89;48,07;46,58;48,98;47,12;45,15;47,07;45,92;43,98;43,58;42,99;44,68;42,63;43,28
48906;Forua;48,63;45,48;45,49;46,43;48,25;46,68;43,85;42,16;43,22;41,38;43,35;45,49;45,12;43,76
48035;Fruiz;54,67;52,23;50,90;49,33;49,89;47,17;47,73;46,44;46,05;44,91;45,41;42,53;44,88;41,78
20038;Gabiria;53,48;47,39;48,24;50,45;52,98;52,14;51,18;49,88;48,71;45,50;40,57;41,39;44,08;44,00
20037;Gaintza;46,73;44,14;46,36;49,47;50,50;45,10;47,57;47,06;46,60;52,48;47,57;51,92;41,67;46,73
48036;Galdakao;52,88;50,38;49,64;51,07;50,75;50,29;49,37;48,98;47,86;46,88;47,97;49,92;50,05;49,80
48037;Galdames;43,07;39,42;38,84;37,93;37,50;38,77;36,49;35,81;34,86;35,68;34,68;35,19;33,94;34,43
48038;Gamiz-Fika;52,20;48,68;48,72;49,29;48,18;45,10;44,39;44,24;43,26;42,99;43,63;44,17;42,40;42,08
48039;Garai;57,52;52,24;54,23;51,67;50,57;49,22;48,02;47,37;43,55;41,34;36,60;33,21;29,45;26,77
48040;Gatika;52,29;50,36;49,50;51,76;51,11;49,96;47,37;48,31;46,26;46,29;46,92;46,99;46,18;45,14
48041;Gautegiz Arteaga;47,78;44,44;43,50;44,98;45,14;46,24;43,52;41,37;40,97;42,36;40,99;39,23;38,35;36,60
20907;Gaztelu;45,86;40,29;32,62;35,51;35,51;35,46;34,29;35,11;35,51;32,64;44,29;44,44;38,67;45,07
