Indicadores municipales de sostenibilidad: Hombres ocupados en el sector construcción (% sobre total hombres ocupados);;;;;
"";;;;;
Resumen de datos;;;;;
20061;Orio;11,59;10,81;12,14;11,75
20062;Ormaiztegi;5,30;5,67;6,79;6,46
48075;Orozko;6,56;6,30;6,57;5,50
48083;Ortuella;16,55;16,20;17,11;15,87
48072;Otxandio;3,45;4,92;4,43;5,31
01043;Oyón-Oion;8,15;7,01;6,65;6,43
20059;Oñati;2,92;3,25;3,47;3,28
20064;Pasaia;12,87;12,85;13,01;12,54
01044;Peñacerrada-Urizaharra;7,41;5,83;7,62;7,37
48077;Plentzia;9,04;9,73;8,54;7,92
48078;Portugalete;12,26;12,09;12,39;11,87
01047;Ribera Baja/Erribera Beitia;12,53;11,57;13,55;12,69
01051;Salvatierra/Agurain;5,27;4,86;5,26;4,43
01052;Samaniego;1,23;0,00;0,00;0,00
01053;San Millán/Donemiliaga;10,90;8,65;7,14;5,29
48082;Santurtzi;14,15;14,01;14,65;14,36
20070;Segura;6,98;5,44;4,66;6,13
48084;Sestao;16,52;16,48;16,02;15,65
48904;Sondika;8,70;7,75;7,88;7,89
48085;Sopela;7,87;7,62;8,38;7,88
48086;Sopuerta;13,90;14,08;14,55;15,50
20065;Soraluze-Placencia de las Armas;9,05;8,20;8,33;7,15
48076;Sukarrieta;3,70;4,94;5,48;2,99
20071;Tolosa;7,57;7,58;7,34;7,40
48087;Trucios-Turtzioz;14,73;14,84;15,70;16,26
48088;Ubide;5,66;3,77;4,26;3,45
48065;Ugao-Miraballes;10,98;10,28;11,02;9,90
48089;Urduliz;8,91;8,97;9,30;9,24
48074;Urduña/Orduña;8,58;7,56;8,05;6,99
01054;Urkabustaiz;6,30;7,93;8,68;8,42
20072;Urnieta;12,66;13,51;14,44;14,04
20077;Urretxu;8,36;8,51;8,78;8,68
20073;Usurbil;9,67;10,31;10,01;9,86
01055;Valdegovía/Gaubea;9,49;8,48;8,21;9,92
48080;Valle de Trápaga-Trapagaran;13,40;13,27;12,72;12,60
20075;Villabona;9,44;10,32;10,30;10,70
01057;Villabuena de Álava/Eskuernaga;3,80;5,95;5,19;6,41
01059;Vitoria-Gasteiz;7,54;7,62;7,80;7,45
01060;Yécora/Iekora;5,00;4,84;1,79;1,75
48095;Zaldibar;5,79;6,07;6,03;5,98
20078;Zaldibia;17,03;14,14;13,26;14,00
01061;Zalduondo;3,33;3,45;3,33;3,45
48096;Zalla;13,87;13,92;14,37;12,81
01062;Zambrana;5,36;7,89;3,92;5,26
48905;Zamudio;8,54;9,97;9,15;9,25
48097;Zaratamo;15,31;14,94;14,62;13,99
20079;Zarautz;7,94;7,85;8,20;8,00
48024;Zeanuri;8,70;8,14;7,53;7,26
48025;Zeberio;9,19;9,06;9,40;8,91
20025;Zegama;8,59;8,67;10,46;9,16
20026;Zerain;3,33;3,23;3,28;3,45
20027;Zestoa;8,65;8,75;9,34;8,05
48913;Zierbena;6,55;7,13;7,78;6,81
01018;Zigoitia;8,05;9,02;9,42;8,86
48915;Ziortza-Bolibar;8,60;10,48;9,35;7,89
20028;Zizurkil;11,42;13,60;13,43;13,40
01063;Zuia;7,79;6,26;6,23;7,43
20081;Zumaia;7,29;7,56;7,95;7,53
20080;Zumarraga;8,09;7,54;8,52;8,23
