Indicadores municipales de sostenibilidad: Tasa de afiliación a la Seguridad Social por municipio de trabajo: Hombres (% hombres de 16 y más años);;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009
48902;Erandio;122,22;117,77;118,51;117,18;120,65;118,16;121,86;120,43;120,62;120,32;125,37;133,06;132,06;126,75
48033;Ereño;9,09;10,14;9,63;11,81;12,50;13,91;13,91;13,33;12,28;12,50;16,38;18,33;15,57;22,12
48034;Ermua;33,03;32,31;31,83;32,22;33,18;32,53;35,39;34,31;33,77;33,26;33,19;33,93;35,16;34,90
20067;Errenteria;25,93;25,72;25,27;25,94;25,81;25,87;25,70;24,98;24,39;24,19;24,44;28,73;30,49;31,20
20066;Errezil;87,31;82,26;73,66;68,57;66,55;62,82;64,18;73,12;70,41;65,93;74,37;58,48;70,36;65,09
01046;Erriberagoitia/Ribera Alta;22,75;24,43;23,58;23,41;26,41;30,40;27,76;28,91;27,39;26,52;23,44;27,27;24,22;26,11
48079;Errigoiti;17,92;17,28;18,41;18,18;18,10;19,07;18,91;16,87;15,70;14,80;23,35;34,10;25,77;23,97
20034;Eskoriatza;110,74;110,31;119,42;134,62;122,92;120,40;106,01;101,10;94,54;99,49;102,66;109,70;98,30;91,63
48029;Etxebarri;49,82;49,54;50,61;53,60;55,34;56,77;57,59;58,86;59,34;59,06;61,05;64,13;64,66;68,11
48030;Etxebarria;228,71;231,63;239,74;222,19;224,92;245,63;247,68;253,22;217,92;222,70;209,94;222,96;216,61;169,97
20035;Ezkio-Itsaso;122,68;130,63;141,61;141,78;151,72;152,98;154,96;158,27;161,54;170,04;150,18;151,26;158,27;160,00
48906;Forua;16,07;15,37;17,62;17,72;15,50;18,73;17,87;14,83;15,22;13,46;13,41;13,95;16,98;15,25
48035;Fruiz;10,55;11,42;13,76;11,87;12,90;12,84;14,35;12,62;13,95;12,33;11,71;11,87;12,11;9,52
