Indicadores municipales de sostenibilidad: Porcentaje de establecimientos del sector primario sobre el total (%);;;;;;;;;;;;;
"";;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
48070;Aulesti;18,60;19,15;25,00;26,00;24,00;19,15;18,37;19,15;23,08;22,64;23,53;21,57
01010;Ayala/Aiara;34,22;34,24;38,35;38,81;40,14;37,69;37,17;36,74;35,55;41,18;42,31;39,93
20017;Azkoitia;5,86;5,89;6,41;7,33;7,59;8,39;8,68;8,47;7,79;9,49;9,38;7,53
20018;Azpeitia;5,77;5,97;6,06;6,74;6,82;7,05;7,22;7,81;7,09;7,77;8,63;6,51
01049;Añana;25,81;25,00;26,67;28,57;33,33;29,17;30,43;17,65;22,22;23,53;23,53;29,41
48012;Bakio;6,02;6,51;6,13;8,41;8,41;8,37;8,59;9,45;10,10;9,23;9,95;11,00
20904;Baliarrain;0,00;0,00;13,33;12,50;17,65;18,75;21,43;23,08;30,77;33,33;38,46;42,86
48090;Balmaseda;1,06;0,84;2,00;2,30;1,63;1,60;1,52;1,33;1,50;1,54;2,12;1,82
48013;Barakaldo;0,36;0,38;0,38;0,37;0,40;0,38;0,35;0,37;0,34;0,38;0,41;0,40
48014;Barrika;4,04;4,04;4,35;4,60;4,95;5,94;8,42;6,12;3,96;5,45;8,25;8,42
01013;Barrundia;44,74;44,35;49,15;51,24;53,72;52,25;50,85;49,57;49,06;46,85;50,89;47,32
48015;Basauri;0,22;0,18;0,21;0,32;0,28;0,35;0,35;0,42;0,38;0,27;0,37;0,30
01011;Baños de Ebro/Mañueta;58,42;59,18;61,17;60,95;58,49;52,22;50,00;46,84;43,37;41,56;42,53;39,08
20019;Beasain;1,18;1,20;1,19;1,30;1,38;1,08;1,05;1,42;1,68;2,54;2,74;2,80
48092;Bedia;1,90;1,94;1,96;1,85;1,82;5,41;5,45;5,45;5,36;6,19;5,22;8,33
20020;Beizama;32,00;30,77;33,33;33,33;33,33;34,48;30,77;35,48;33,33;44,44;46,43;48,39
20021;Belauntza;8,22;8,70;9,72;10,00;9,86;7,35;7,35;4,84;8,06;10,61;12,12;12,68
48016;Berango;1,75;1,45;1,93;2,68;2,73;2,58;3,04;2,58;3,08;3,45;3,79;3,07
01014;Berantevilla;38,55;36,05;40,43;43,62;44,68;40,00;37,50;34,62;33,33;33,75;36,59;37,65
20022;Berastegi;18,03;19,18;23,38;25,97;26,83;24,44;24,47;26,88;25,00;32,97;38,04;34,09
20074;Bergara;3,80;3,58;4,46;4,98;4,84;5,03;4,58;5,23;6,86;6,32;9,20;8,13
48017;Bermeo;6,54;6,57;6,77;6,91;7,75;6,85;7,19;7,76;8,41;8,56;9,30;7,48
01016;Bernedo;45,00;44,30;51,16;56,47;58,33;56,58;52,56;52,70;46,48;46,25;46,05;44,59
48018;Berriatua;18,26;16,96;18,33;20,66;20,45;17,46;16,00;18,90;17,39;19,44;20,29;20,44
48019;Berriz;5,04;4,57;5,91;7,26;7,03;6,82;5,50;4,77;5,90;5,40;6,17;5,11
20023;Berrobi;27,59;30,00;34,48;34,48;34,38;32,35;37,50;33,33;31,03;34,38;36,11;33,33
20024;Bidania-Goiatz;30,91;29,17;31,91;37,74;34,62;38,46;38,00;36,00;33,33;39,68;40,32;38,60
48020;Bilbao;0,23;0,25;0,24;0,27;0,26;0,30;0,29;0,24;0,19;0,20;0,18;0,19
48021;Busturia;11,88;11,58;11,70;11,70;12,50;13,40;12,77;13,19;14,89;11,83;13,54;7,29
01017;Campezo/Kanpezu;19,81;21,36;22,64;24,76;25,49;26,79;27,27;27,27;26,89;25,83;26,61;21,95
20029;Deba;10,71;10,87;12,24;13,94;14,39;13,27;12,74;14,04;16,17;16,76;16,98;14,83
48901;Derio;1,22;1,23;1,45;1,44;1,51;1,41;1,63;1,22;1,26;1,49;1,72;1,78
48026;Dima;13,40;11,34;10,38;13,08;13,46;13,40;13,27;9,90;14,56;14,00;15,46;13,89
20069;Donostia / San Sebastián;0,37;0,36;0,36;0,42;0,41;0,45;0,44;0,46;0,43;0,42;0,61;0,51
48027;Durango;1,45;1,38;1,15;1,24;1,41;1,28;1,29;1,19;1,03;0,81;1,06;0,98
48028;Ea;7,14;5,26;8,47;9,68;11,11;10,29;11,86;10,17;13,33;14,04;14,29;13,79
20030;Eibar;0,90;0,93;1,09;1,23;1,20;1,05;1,10;1,31;1,41;1,95;2,16;1,60
48031;Elantxobe;8,33;8,00;8,00;7,69;4,17;4,17;0,00;0,00;0,00;0,00;4,76;11,54
01021;Elburgo/Burgelu;32,73;33,33;37,50;39,68;37,31;36,07;39,66;32,73;34,62;31,03;32,69;33,93
01022;Elciego;42,11;40,44;42,57;53,49;53,89;49,69;46,63;40,94;42,58;40,88;40,62;35,71
20031;Elduain;11,76;11,11;11,11;11,76;11,76;5,88;11,11;11,11;22,73;26,09;26,09;15,00
20033;Elgeta;5,56;4,12;3,16;3,12;4,26;4,35;4,17;3,23;3,03;4,76;5,71;4,46
20032;Elgoibar;4,53;4,44;4,79;5,63;5,85;5,69;5,47;4,99;4,88;5,95;6,33;5,24
48032;Elorrio;8,74;7,76;8,67;8,90;8,96;7,60;7,03;7,16;6,43;7,64;8,24;6,12
01023;Elvillar/Bilar;68,54;65,93;68,69;71,30;68,81;67,02;65,59;60,00;53,85;53,41;52,27;51,76
48902;Erandio;0,54;0,69;0,77;0,82;0,95;0,86;1,13;0,90;0,90;0,85;0,89;0,78
48033;Ereño;21,05;29,41;27,78;23,53;22,22;22,22;18,75;13,33;29,41;31,58;30,00;27,27
48034;Ermua;0,26;0,00;0,00;0,12;0,24;0,34;0,22;0,34;0,22;0,33;0,33;0,20
20067;Errenteria;0,75;0,72;0,85;0,89;0,91;0,84;0,84;0,91;0,96;1,11;1,18;1,19
20066;Errezil;40,26;42,65;43,48;48,61;47,95;46,58;48,05;44,87;48,19;51,04;52,04;47,50
01046;Erriberagoitia/Ribera Alta;36,45;37,25;41,18;39,42;40,19;40,37;41,35;44,21;41,86;41,86;43,02;37,08
48079;Errigoiti;13,51;23,53;21,88;16,67;17,65;7,14;11,11;9,68;16,13;19,35;20,59;21,95
20034;Eskoriatza;8,04;7,62;9,05;10,76;11,56;12,56;12,34;11,11;10,83;14,50;14,44;11,07
48029;Etxebarri;0,29;0,42;0,28;0,27;0,14;0,14;0,00;0,00;0,00;0,13;0,14;0,14
48030;Etxebarria;23,88;23,44;23,88;25,81;25,76;23,88;23,88;28,99;29,58;32,00;32,94;29,11
20035;Ezkio-Itsaso;12,94;12,94;10,47;12,63;13,98;13,40;13,00;13,98;14,14;14,89;19,15;14,13
48906;Forua;13,04;12,24;13,46;10,71;10,34;8,62;8,62;14,55;16,67;16,39;11,48;15,00
48035;Fruiz;12,50;10,81;15,62;13,33;11,76;9,09;12,12;13,33;15,15;12,12;13,79;12,00
20038;Gabiria;10,64;11,90;13,64;17,78;17,39;24,49;28,57;28,57;25,00;38,33;40,00;38,98
20037;Gaintza;25,00;25,00;25,00;25,00;25,00;25,00;25,00;40,00;46,15;50,00;52,94;46,67
48036;Galdakao;0,83;0,90;0,89;0,92;1,04;1,06;1,25;1,26;1,12;1,62;1,47;1,22
48037;Galdames;23,61;25,00;26,76;23,94;26,67;29,87;30,67;28,38;30,77;34,94;34,83;34,15
48038;Gamiz-Fika;27,93;28,95;29,27;28,57;28,12;25,45;26,21;24,75;22,47;28,26;29,79;27,47
48039;Garai;8,33;10,00;13,79;16,00;17,39;16,67;16,67;17,39;13,04;24,00;27,27;31,58
48040;Gatika;9,56;9,22;9,68;11,56;10,88;10,37;12,50;10,00;10,77;12,32;13,87;13,48
48041;Gautegiz Arteaga;5,00;5,08;5,17;5,26;5,77;5,17;6,78;5,17;3,64;3,23;4,55;4,23
20907;Gaztelu;40,00;38,46;52,94;47,37;50,00;45,00;44,44;42,11;45,00;47,37;50,00;45,45
48046;Gernika-Lumo;1,38;1,35;1,42;1,78;2,05;2,38;2,74;2,64;2,56;2,81;2,77;1,75
20039;Getaria;16,24;16,06;17,15;20,65;26,56;20,44;19,42;19,41;18,41;18,77;19,23;19,30
48044;Getxo;0,31;0,33;0,31;0,37;0,40;0,35;0,33;0,28;0,32;0,36;0,47;0,39
48047;Gizaburuaga;7,32;6,98;9,09;9,52;9,09;4,26;4,35;4,35;2,17;4,35;4,55;2,33
48042;Gordexola;8,50;9,15;9,62;10,19;10,30;10,86;12,65;11,98;13,92;17,31;20,25;14,91
48043;Gorliz;2,12;2,36;2,91;3,41;4,16;3,07;2,17;2,78;2,94;2,71;3,00;2,35
48045;Güeñes;5,09;5,33;5,34;5,50;6,51;7,35;5,95;6,39;7,08;6,70;6,99;6,02
01056;Harana/Valle de Arana;50,00;51,35;55,00;51,16;59,52;51,28;50,00;48,72;50,00;52,38;52,27;48,78
20040;Hernani;2,13;2,16;2,29;2,42;2,35;2,19;2,33;2,37;2,31;2,84;3,04;2,04
20041;Hernialde;14,81;15,38;23,81;28,57;29,17;25,00;25,00;31,82;33,33;34,78;34,78;20,00
20036;Hondarribia;4,86;5,15;5,46;6,15;9,93;4,91;4,81;4,94;4,91;5,22;5,77;5,75
20042;Ibarra;3,57;3,57;3,19;3,89;4,17;5,30;5,36;6,51;5,95;5,30;5,69;5,30
48048;Ibarrangelu;4,35;4,17;3,92;6,00;8,00;8,51;12,20;10,00;11,36;15,22;16,33;9,76
20043;Idiazabal;9,88;10,06;13,26;12,71;10,64;11,83;12,64;11,41;11,05;13,97;12,70;11,92
48094;Igorre;8,33;8,80;9,12;8,93;8,78;7,10;7,03;5,61;6,65;6,16;7,49;7,12
20044;Ikaztegieta;2,50;5,00;6,98;8,51;6,67;10,64;10,20;13,04;9,30;8,33;7,27;9,09
