Indicadores municipales de sostenibilidad: Hombres beneficiarios de Renta de Garantía de Ingresos (? hombres);;;;;;;;;;;
"";;;;;;;;;;;
Resumen de datos;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014
01014;Berantevilla;0,00;0,00;3,75;7,55;7,66;7,60;11,49;15,50;7,97;16,00
20022;Berastegi;1,80;0,00;0,00;3,70;1,85;0,00;0,00;1,84;1,81;5,52
20074;Bergara;13,53;12,42;11,56;10,94;8,95;12,71;16,60;16,86;15,99;16,28
48017;Bermeo;25,74;23,48;23,50;24,99;25,04;26,84;26,77;27,05;29,72;30,70
01016;Bernedo;6,10;12,12;12,16;9,32;0,00;9,68;12,82;6,39;9,68;12,50
48018;Berriatua;5,96;3,04;6,03;7,49;7,31;23,43;21,90;25,37;36,81;27,36
48019;Berriz;11,82;10,18;12,78;12,30;13,23;14,90;22,56;22,52;21,55;22,06
20023;Berrobi;30,72;19,29;25,89;32,05;25,24;28,66;31,65;28,30;28,66;16,08
20024;Bidania-Goiatz;14,76;14,60;17,86;21,28;17,30;13,79;14,13;10,53;10,95;10,79
48020;Bilbao;36,92;33,16;35,02;35,02;33,68;37,01;40,45;42,60;42,22;41,39
48021;Busturia;20,94;20,88;17,11;16,01;19,95;21,46;17,09;20,46;25,55;26,44
01017;Campezo/Kanpezu;13,51;11,82;15,08;11,95;5,29;5,29;1,75;5,36;7,18;8,90
20029;Deba;7,55;7,18;9,06;10,04;9,89;14,64;13,55;14,60;13,23;14,33
48901;Derio;9,36;7,28;7,25;9,33;10,72;13,09;12,27;12,36;9,80;11,26
48026;Dima;11,55;11,72;18,62;13,21;11,07;15,15;16,37;14,91;15,94;12,13
20069;Donostia / San Sebastián;16,57;15,01;15,73;15,99;14,66;15,85;17,88;18,56;17,18;18,01
48027;Durango;15,10;12,75;15,07;15,58;14,12;14,91;17,20;18,36;18,94;17,85
48028;Ea;35,48;29,21;29,02;27,03;29,35;20,13;20,55;16,13;16,20;18,43
20030;Eibar;31,01;28,76;29,03;30,66;27,85;28,90;33,54;35,25;32,66;29,13
48031;Elantxobe;0,00;11,63;17,54;23,53;21,74;16,39;33,52;27,62;27,47;37,23
01021;Elburgo/Burgelu;5,71;5,83;0,00;0,00;0,00;2,93;0,00;2,92;0,00;9,04
01022;Elciego;12,07;9,82;17,79;15,53;9,90;17,75;17,41;21,36;19,69;23,64
20031;Elduain;0,00;0,00;8,26;16,53;16,26;15,87;7,94;7,94;8,00;7,81
20033;Elgeta;7,16;8,98;5,36;8,68;6,75;6,64;11,76;16,86;17,79;26,93
20032;Elgoibar;19,15;14,60;16,26;19,85;16,97;19,14;21,43;23,06;26,91;27,55
48032;Elorrio;8,36;8,85;9,12;8,70;9,85;11,72;11,75;10,90;12,58;8,53
01023;Elvillar/Bilar;19,48;6,29;12,50;11,90;5,85;11,70;16,76;11,24;17,75;11,83
48902;Erandio;20,04;18,09;20,59;23,65;21,94;24,16;25,61;25,13;31,68;29,27
48033;Ereño;12,66;12,66;0,00;0,00;0,00;0,00;0,00;7,46;7,09;7,41
48034;Ermua;22,62;22,32;21,16;22,20;19,00;19,33;25,26;25,73;28,11;24,20
20067;Errenteria;19,57;17,24;18,93;20,00;18,69;19,95;22,27;24,10;25,26;24,42
